Virtual,Offset,loc,Import,Imports,var,Forwarder,UINT,LONG,BOOL,WORD,BYTES,large,short,dd,db,dw,XREF,ptr,DATA,FUNCTION,extrn,byte,word,dword,char,DWORD,stdcall,arg,locret,asc,align,WinMain,unk,cookie,off,nullsub,DllEntryPoint,System32,dll,CHUNK,BASS,HMENU,DLL,LPWSTR,void,HRESULT,HDC,LRESULT,HANDLE,HWND,LPSTR,int,HLOCAL,FARPROC,ATOM,HMODULE,WPARAM,HGLOBAL,entry,rva,COLLAPSED,config,exe,Software,CurrentVersion,__imp_,INT_PTR,UINT_PTR,---Seperator,PCCTL_CONTEXT,__IMPORT_,INTERNET_STATUS_CALLBACK,.rdata:,.data:,.text:,case,installdir,market,microsoft,policies,proc,scrollwindow,search,trap,visualc,___security_cookie,assume,callvirtualalloc,exportedentry,hardware,hkey_current_user,hkey_local_machine,sp-analysisfailed,unableto
21,116,857,24,0,890,6,27,6,69,43,174,6,1,87555,63839,1226,291,77,4,0,0,150,13,0,51,0,98,155,0,0,511,133,38,1,88,0,0,0,2,0,0,0,1,0,150,0,0,0,2,0,1,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97,70,4572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,589,20,0,1574,5,4,3,27,4,15,1,16,3232,5809,1533,78,35,2,6,0,3,0,0,0,0,19,48,0,0,66,1,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,2066,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,9,2876,20,0,625,5,37,7,128,24,13,0,1,1278,1367053,4048,423,13,3,4,0,365,0,0,44,0,77,75,0,3,516,7,6,0,1028,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,48,93,13163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,408,36,0,615,9,12,4,28,16,8,0,4,65928,1311,250,54,10,2,0,0,0,2,0,0,0,35,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,15,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,124,15,0,66,4,2,0,4,4,13,3,0,117,131,100,65,7,2,0,0,0,0,0,1,0,3,6,0,0,31,0,2,7,9,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,15,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,86,8,0,6,2,0,0,1,4,25,0,0,294,77887,35,4,2,1,46,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,278,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
17,88,621,27,0,292,7,29,5,65,44,168,0,3,115601,59036,692,127,12,4,0,0,22,0,0,24,0,73,76,0,0,290,19,5,1,19,0,0,0,3,0,0,0,1,0,3,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,65,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,151,2343,28,0,4090,7,14,5,34,31,261,10,4,1150,25594,1076,394,328,3,2,0,22,26,0,181,0,47,1900,0,14,495,1,18,50,185,0,0,0,2,0,0,0,1,2,67,0,0,0,3,0,18,154,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,91,91,82877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,116,847,24,0,597,6,22,5,52,36,202,18,9,612,2352298,700,208,41,2,0,0,6,16,0,47,0,75,116,0,0,299,16,19,1,40,0,0,0,3,0,0,0,1,0,55,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,79,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,238,8,0,526,0,9,2,11,10,5,5,0,7340,2082,258,17,28,16,4,0,0,0,0,0,0,23,13,0,0,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
