byte_filesize,byte_offset
1593172,4198400
136388,4198400
1685117,4198400
1743456,4198400
244445,268439552
159845,4198400
2156858,4198400
181302,4198400
2374223,4198400
195535,4198400
1000971,4198400
847997,4198400
2737876,4198400
268254,1307774976
1640305,4198400
1491939,4198400
131166,4198400
224416,4198400
1558938,4198400
169207,268439552
235916,4198400
1973993,4198400
1066444,4198400
1699751,4198400
771461,2112880640
1560342,4198400
507710,4198400
1950511,4198400
1553703,4198400
1505347,4198400
1616963,4198400
2166593,4198400
2736042,4198400
168585,4198400
787411,4198400
259827,4198400
1557631,4198400
690244,4198400
1127169,4198400
1071003,4198400
1930927,4198400
1733745,4198400
134443,4198400
167821,268439552
249022,1733955584
1797214,4198400
1845609,4198400
139208,4198400
258195,4198400
2733405,4198400
1505130,4198400
263824,4198400
278754,4198400
104565,4198400
1794237,4198400
1081407,4198400
1505921,4198400
1561751,4198400
1842827,4198400
240127,268439552
1105079,4198400
1559325,4198400
188555,4198400
1558345,4198400
210525,268439552
2125674,4198400
1397712,4198400
1560287,4198400
1965222,4198400
2064685,4198400
202808,4198400
1505120,4198400
2735920,4198400
2128003,4198400
737661,4198400
1135064,4198400
1559662,4198400
365181,4198400
2737307,4198400
204059,4198400
1665925,4198400
3161354,4198400
1561690,4198400
139632,4198400
673373,4198400
178039,4198400
125346,4198400
1128034,4198400
127105,4198400
974496,4198400
2198081,4198400
157761,4198400
1698837,1739460608
360034,1835864064
2132547,4198400
1559930,4198400
2736029,4198400
215035,4198400
126272,4198400
140217,0
1559685,4198400
1492037,4198400
137512,4198400
212061,4198400
1560860,4198400
1559180,4198400
1957008,4198400
2401189,0
1489850,4198400
1801003,4198400
213838,4198400
1561555,4198400
1560750,4198400
2093845,4198400
41957,4198400
223035,4198400
1191524,268439552
1560660,4198400
260275,4198400
1135829,4198400
1140514,4198400
2736870,4198400
246064,4198400
237335,268439552
1918815,4198400
1489593,4198400
841010,4198400
1492401,4198400
1559506,4198400
157275,4198400
151909,4198400
639790,4198400
237243,4198400
1557996,4198400
1113922,4198400
422575,1732120576
1560485,4198400
2082154,4198400
1141302,4198400
140992,4198400
1505282,4198400
1684220,4198400
1489543,4198400
1761643,4198400
258248,4198400
566144,4198400
1782543,4198400
122241,4198400
202979,4198400
1560600,4198400
1561465,4198400
139761,4198400
1559573,4198400
1560723,4198400
166319,268439552
113675,4198400
170820,4198400
165973,268439552
1560754,4198400
139685,4198400
170254,16777216
1981519,4198400
138759,4198400
1553710,4198400
1553040,4198400
123455,4198400
1557432,4198400
1044202,4198400
140545,4198400
1116486,4198400
1560361,4198400
124442,4198400
1560605,4198400
1556990,4198400
2046602,4198400
