Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.000117201766,1.6826822e-05,4.6240086e-05,5.407447e-05,0.9987469,0.00037475835,4.3944667e-05,0.00049708673,0.000103001614
Ig2DB5tSiEy1cJvV0zdw,2.7566428e-05,1.0364686e-05,2.2104772e-05,4.131078e-05,0.9993364,0.00019496262,7.150133e-05,0.0001661107,0.00012962749
Jmo6eIhLZ4t9r8QsxEg5,0.0001920929,0.00017118483,0.00029609923,0.003257045,0.9904207,0.0014726161,0.0008562524,0.0023585304,0.0009754148
JtPFl4ewgdD78OzCMa3o,0.009133682,0.0020465218,0.0036020055,0.017015498,0.8975256,0.026016809,0.004038724,0.029917674,0.010703478
K3ZtByPHGSFYNljDUEXp,4.305612e-06,4.9367095e-06,0.9999385,5.3255103e-06,9.337527e-06,9.379216e-06,9.957697e-06,1.29445025e-05,5.3671915e-06
K5PTipJ9XhUo4ZNeMW2a,2.1958333e-05,7.146409e-06,0.9999125,6.042689e-06,8.045942e-06,1.3336374e-05,1.0925286e-05,1.30487e-05,6.989396e-06
K5qpgj7bdnhS2r30OEzY,1.3391139e-05,2.9478128e-06,0.99992406,5.00681e-06,1.2320164e-05,1.6762278e-05,9.413894e-06,1.0663923e-05,5.425033e-06
K62VOEBLnk8crZ4MmsXT,1.33911135e-05,3.972697e-06,0.99992216,5.0068006e-06,1.2320142e-05,1.7508248e-05,9.413876e-06,1.082283e-05,5.4030893e-06
K7ZiVIxskzvctNT0qyA3,1.2872726e-05,3.1388306e-06,0.9999248,5.987139e-06,1.7804356e-05,1.1396014e-05,9.678232e-06,9.501317e-06,4.8125266e-06
K89sTRoP52wWL7rZUNdt,2.6902118e-05,8.815193e-06,0.9999002,7.963999e-06,9.924779e-06,1.131141e-05,1.347649e-05,1.3083703e-05,8.2924635e-06
K9moual27cWIk5bJOpiH,5.485431e-06,5.956594e-06,0.9999198,9.04424e-06,1.1959331e-05,7.875019e-06,1.39141275e-05,1.854093e-05,7.3963365e-06
KAPHdnDUgF3m5pEGwxXc,1.4438802e-05,2.9478324e-06,0.99993074,5.0068434e-06,1.0314372e-05,1.1165564e-05,9.413957e-06,1.0663994e-05,5.284328e-06
KB7ybYxf95pdtUoGzl3u,1.3391175e-05,2.9478208e-06,0.9999268,5.2981136e-06,1.2320198e-05,1.4210542e-05,9.4139195e-06,1.0663952e-05,4.9339787e-06
KBZ4cC3QsAgrqI80OWlm,1.651562e-05,2.9477885e-06,0.99991584,5.67574e-06,1.6759217e-05,1.6279957e-05,1.0026442e-05,1.06638345e-05,5.2842493e-06
KBZO3jLb5A7ieDWYTMgR,1.417582e-05,4.0105992e-06,0.99992085,5.496853e-06,1.279852e-05,1.7413075e-05,9.779399e-06,9.918086e-06,5.5109517e-06
KBbVJcQrqAu4zROsEwi0,1.41758555e-05,3.1716486e-06,0.99992335,5.496867e-06,1.07147935e-05,1.7926714e-05,9.779424e-06,9.7437405e-06,5.657743e-06
KCvj7cQ1dHEFDBruTZpV,1.6311218e-05,3.998578e-06,0.9999193,6.2466224e-06,1.2320106e-05,1.5627396e-05,1.007006e-05,1.1016479e-05,5.130292e-06
KCvjZO7bGhenNRq8xLsf,1.6136379e-05,4.9842124e-06,0.9999256,6.092515e-06,9.706127e-06,6.287016e-06,1.0350777e-05,1.5669115e-05,5.199048e-06
KDHx9P6m25ocdLaqVn8k,4.6402815e-06,5.5547544e-06,0.999928,6.9810844e-06,1.0940386e-05,7.470535e-06,1.2728633e-05,1.7772518e-05,5.917451e-06
KDQ13ouamdPnSlhzTRJe,0.999757,4.2001735e-05,4.279803e-06,3.2541143e-06,3.1382438e-06,7.765599e-06,2.2501847e-06,0.00017254887,7.785397e-06
KE3w1tc4flX7UngQ5yTq,1.4438717e-05,2.947815e-06,0.9999248,5.006814e-06,1.031431e-05,1.6762291e-05,9.4139e-06,1.101654e-05,5.2842965e-06
KEhusGlH2O4qwTymPZRQ,1.2826257e-05,2.9478144e-06,0.99992466,5.006813e-06,1.2320172e-05,1.676229e-05,9.4138995e-06,1.0663929e-05,5.4250363e-06
KFBXbSr9a8mYC7cDkflH,1.6494929e-05,5.2335085e-06,0.9998945,7.671835e-06,2.2814249e-05,2.256898e-05,1.240155e-05,1.21748535e-05,6.1667033e-06
KFHlYPzy0Emni9exLs3C,0.99979264,3.4761065e-06,5.100519e-06,2.7414344e-06,5.641067e-06,5.6095123e-06,2.539294e-06,0.00017231214,1.001397e-05
KFboDTnWNsOkzIl8rX6R,1.3391148e-05,3.8607022e-06,0.9999248,5.006814e-06,1.031431e-05,1.7256687e-05,9.4139e-06,1.066393e-05,5.2842965e-06
KFczEQCIau7D20MROmHl,1.4931799e-05,9.787079e-06,0.9997341,2.5834552e-05,1.7310818e-05,2.4565887e-05,3.955022e-05,0.00012520593,8.701562e-06
KFlbgmf4GZjHhIsX92Yr,1.3993549e-05,3.8606768e-06,0.9999181,5.433409e-06,1.6759253e-05,1.5627376e-05,9.731998e-06,1.0663859e-05,5.847248e-06
KG6ZtkgjohnTHX9McR4w,0.99993145,4.8109896e-06,4.0389687e-06,2.1708706e-06,2.928425e-06,1.3487324e-05,2.0108007e-06,3.34161e-05,5.6247986e-06
KGA8EhzSPqxyN9wCmeiV,0.00011905361,3.8551578e-05,6.203693e-05,0.00011498054,0.9966389,0.0023867616,6.519781e-05,0.0004219127,0.00015260014
KGPCEf430IcB1OpbthkR,0.9965576,0.0004712963,6.958957e-05,3.4312183e-05,6.865896e-05,0.0006336353,3.464517e-05,0.0019851078,0.00014522563
