Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.00062690815,9.209958e-05,0.00022184604,0.00036952115,0.97341055,0.006157705,0.0002907622,0.0187279,0.00010274088
Ig2DB5tSiEy1cJvV0zdw,4.4470176e-05,3.6915956e-06,1.3300121e-05,2.4912224e-05,0.99849534,0.00022681335,4.1578205e-05,0.001138551,1.13962315e-05
Jmo6eIhLZ4t9r8QsxEg5,0.0012300573,0.0004369918,0.00066765345,0.002357031,0.91745347,0.030841107,0.0016760876,0.044286564,0.0010510636
JtPFl4ewgdD78OzCMa3o,0.010951287,0.0037514314,0.0033122734,0.012596196,0.08203886,0.22618888,0.0029458788,0.6456317,0.012583511
K3ZtByPHGSFYNljDUEXp,1.3303378e-05,1.6316054e-06,0.999892,4.604224e-06,7.4417526e-06,5.6977638e-06,8.178047e-06,6.154377e-05,5.5848527e-06
K5PTipJ9XhUo4ZNeMW2a,1.3487981e-05,5.9644913e-06,0.9998733,6.87072e-06,6.3939383e-06,9.683799e-06,7.839144e-06,6.403883e-05,1.2457366e-05
K5qpgj7bdnhS2r30OEzY,5.520261e-06,1.665518e-06,0.999912,4.400846e-06,7.8454905e-06,1.9264517e-05,7.878797e-06,3.180938e-05,9.598729e-06
K62VOEBLnk8crZ4MmsXT,5.185236e-06,1.6119924e-06,0.99991584,4.133759e-06,7.035014e-06,1.8371202e-05,7.4006257e-06,2.9878898e-05,1.0549553e-05
K7ZiVIxskzvctNT0qyA3,4.714907e-06,1.8843906e-06,0.9999167,4.094539e-06,1.2194692e-05,1.8473256e-05,7.616295e-06,2.2678156e-05,1.1609632e-05
K89sTRoP52wWL7rZUNdt,1.5949168e-05,7.4636982e-06,0.9998727,8.597721e-06,8.00109e-06,1.2117898e-05,9.809574e-06,4.9348764e-05,1.6060927e-05
K9moual27cWIk5bJOpiH,1.7546034e-05,2.6729651e-06,0.99984264,9.0108715e-06,1.3186316e-05,8.918981e-06,1.3858152e-05,8.2614824e-05,9.530083e-06
KAPHdnDUgF3m5pEGwxXc,5.185284e-06,1.5644506e-06,0.999925,3.978631e-06,6.914803e-06,1.6798222e-05,7.400694e-06,2.4089595e-05,9.016265e-06
KB7ybYxf95pdtUoGzl3u,5.185201e-06,1.6188123e-06,0.99990904,3.767899e-06,8.290781e-06,2.0579928e-05,7.4005757e-06,3.440296e-05,9.714032e-06
KBZ4cC3QsAgrqI80OWlm,5.185232e-06,1.7527994e-06,0.999915,4.1009366e-06,8.29083e-06,1.9073666e-05,7.40062e-06,2.9878873e-05,9.258374e-06
KBZO3jLb5A7ieDWYTMgR,4.3353057e-06,1.666383e-06,0.99992585,4.100981e-06,7.914784e-06,1.6214964e-05,7.4007e-06,2.1369468e-05,1.1138963e-05
KBbVJcQrqAu4zROsEwi0,4.335294e-06,1.8370661e-06,0.9999231,4.1009703e-06,8.149168e-06,1.8042738e-05,7.40068e-06,2.136941e-05,1.1641171e-05
KCvj7cQ1dHEFDBruTZpV,4.836521e-06,1.8310225e-06,0.9999114,3.6416138e-06,1.07975375e-05,1.72346e-05,7.4005934e-06,3.1570697e-05,1.1301379e-05
KCvjZO7bGhenNRq8xLsf,1.3691e-05,1.6791458e-06,0.99988806,4.7383787e-06,7.658584e-06,6.7084534e-06,8.416332e-06,6.3336985e-05,5.747579e-06
KDHx9P6m25ocdLaqVn8k,3.5185072e-05,2.2007139e-06,0.9998511,7.326771e-06,1.0721839e-05,7.2520547e-06,1.1268111e-05,6.71744e-05,7.748944e-06
KDQ13ouamdPnSlhzTRJe,0.99979264,1.2754746e-05,5.5188384e-06,2.5142233e-06,4.556389e-06,2.6318061e-05,4.9900027e-06,0.0001438499,6.8364543e-06
KE3w1tc4flX7UngQ5yTq,5.0466033e-06,1.6120069e-06,0.9999249,3.9786305e-06,6.9148023e-06,1.6798218e-05,7.400693e-06,2.4089592e-05,9.312021e-06
KEhusGlH2O4qwTymPZRQ,5.5202604e-06,1.7161433e-06,0.9999119,4.4008452e-06,7.4895465e-06,1.9264515e-05,7.878796e-06,3.1809377e-05,1.003153e-05
KFBXbSr9a8mYC7cDkflH,6.072815e-06,2.2110366e-06,0.9998969,5.2737682e-06,1.4312612e-05,2.0530866e-05,9.809812e-06,2.9209506e-05,1.5627433e-05
KFHlYPzy0Emni9exLs3C,0.99989164,1.6465312e-06,2.6811538e-06,1.4728996e-06,2.2111135e-06,4.5447573e-06,1.840117e-06,8.891676e-05,5.0507633e-06
KFboDTnWNsOkzIl8rX6R,5.198791e-06,1.660618e-06,0.9999163,4.0986083e-06,7.4618606e-06,1.7304796e-05,7.6238794e-06,3.0780193e-05,9.59283e-06
KFczEQCIau7D20MROmHl,2.5604731e-05,4.6707028e-06,0.9995266,1.416149e-05,1.7067525e-05,1.1211959e-05,1.966357e-05,0.00036907947,1.1980182e-05
KFlbgmf4GZjHhIsX92Yr,4.581376e-06,1.6119852e-06,0.9999114,3.6416138e-06,1.1391604e-05,1.72346e-05,7.4005934e-06,3.1570697e-05,1.1097936e-05
KG6ZtkgjohnTHX9McR4w,0.9998945,1.3142247e-06,3.1433904e-06,1.773871e-06,2.8954378e-06,1.666651e-05,2.0450764e-06,7.468543e-05,3.0153765e-06
KGA8EhzSPqxyN9wCmeiV,0.00012503743,4.2210595e-06,1.517316e-05,1.7818147e-05,0.9971403,0.0015747548,1.2482744e-05,0.0010964782,1.3734109e-05
KGPCEf430IcB1OpbthkR,0.9973158,0.0003633516,3.981872e-05,1.7033559e-05,3.3324497e-05,0.00042383655,2.4448409e-05,0.0017257307,5.6635545e-05
KHc36DE5SXAedfmtq7pI,0.9998155,6.2661043e-06,5.53082e-06,7.305091e-06,6.2253866e-06,6.479996e-05,3.673952e-06,5.7707923e-05,3.3051885e-05
KHepg3qX6ZWOy2VsdRDQ,0.999699,1.7111412e-05,6.7086494e-06,3.0713234e-06,6.0463153e-06,1.6182816e-05,7.394717e-06,0.00024032102,4.141013e-06
KHpJcA0hTf7yrBuMia3S,0.00012599466,0.0002911269,3.8343176e-05,1.4794515e-05,2.4275398e-05,0.0004229102,9.096439e-05,0.00030687108,0.9986847
KI1eOvfhVoEsa50DLQdA,4.335314e-06,1.5644549e-06,0.99992776,3.978642e-06,6.9148223e-06,1.5526512e-05,7.400714e-06,2.1369508e-05,1.1138984e-05
KI6VEf2DqSA1MwOmNkne,0.99980134,5.1213915e-06,4.712134e-06,2.7963288e-06,5.0663084e-06,0.00011259049,2.805143e-06,4.9851307e-05,1.5798196e-05
KI96FxUmuC5XiYrBOhos,5.831043e-06,2.2236488e-06,0.9998952,4.634933e-06,1.482381e-05,2.2801238e-05,9.419263e-06,3.0333664e-05,1.4669296e-05
KIBotXZz3920bRdQDx6q,0.9996271,3.174149e-06,5.30597e-06,2.7440083e-05,1.4321146e-05,1.1009386e-05,3.877675e-06,0.00027881414,2.8926364e-05
KJAPc4qD5tMsXxkGVoe7,0.99577016,6.6680666e-05,4.2315263e-05,5.4452452e-05,0.00014080506,0.00041449486,3.245668e-05,0.0034209546,5.7634268e-05
KJfPRg9v7YoDId8Tur36,1.29262935e-05,2.45261e-05,2.8807135e-06,2.4560775e-06,2.3642854e-06,2.0518157e-05,2.5582265e-06,2.3770694e-05,0.999908
KJrPf2Vo34EFvyHTb5ca,1.670884e-05,1.9662062e-05,4.4752182e-06,3.8785747e-06,3.1265129e-06,6.1500556e-05,4.264073e-06,5.0235325e-05,0.9998361
KLCJ54mcXibYSkrIowea,5.3520325e-05,4.3107916e-06,0.99975795,6.798236e-06,1.2118588e-05,9.718235e-06,4.754126e-05,9.011504e-05,1.7936949e-05
KLWS8rqmP5CaIdl9Rbwt,0.00012690516,5.3134125e-05,3.536334e-05,1.870279e-05,3.3127075e-05,0.9993624,2.6758516e-05,0.00025775158,8.5893145e-05
KMh2yDGU0arC9FsgfAdO,0.9998318,9.97065e-06,6.575865e-06,1.1858669e-05,1.0006745e-05,3.394345e-05,3.9443207e-06,8.26077e-05,9.300292e-06
KNvsfthG2Pi97V6FbDCL,0.9968785,4.006307e-05,3.8025122e-05,0.00011655912,6.6956614e-05,9.6940945e-05,2.4915473e-05,0.00214276,0.0005952928
KOFjpx4N2u1EAGMIT38i,0.99942845,4.3680284e-05,2.3882605e-05,2.3331479e-05,2.5997211e-05,0.000117515745,1.4137135e-05,0.00027159974,5.1369094e-05
KOHC6vwryfx39bNpQI1W,4.932363e-06,1.6119956e-06,0.99991786,3.6416375e-06,1.1589689e-05,1.7740775e-05,7.4006407e-06,2.3832945e-05,1.1364073e-05
KOIqk23f0eh6GBvmCJAi,7.475094e-05,9.5837995e-06,8.511807e-06,4.295282e-06,6.8911786e-06,0.99955446,1.213637e-05,0.00015134575,0.00017795089
KOnRu8zyDgf3SPZW0B5i,0.9995277,4.2545294e-06,9.543667e-06,5.543959e-06,1.38719115e-05,9.122717e-05,7.084248e-06,0.00033150177,9.25087e-06
KOtPQ3YMr9VwShdCkW0G,4.581343e-06,1.6119737e-06,0.9999043,3.641588e-06,1.246933e-05,2.3371946e-05,7.40054e-06,3.0810774e-05,1.1789387e-05
KP9YUkWe0mdVXatfb3J4,0.9764336,6.407639e-05,0.00015884063,0.00012634697,0.0002572849,0.0051540914,0.00014051714,0.01644617,0.0012191738
KPDpswWqXRhCrfcSiYFU,4.932327e-06,1.831021e-06,0.9999106,3.6416109e-06,1.0797529e-05,1.9073581e-05,7.400587e-06,3.081097e-05,1.0942439e-05
KPE5wLGxWJpShlYAoMDt,7.632845e-05,0.00033552808,2.438657e-05,1.2277912e-05,1.8920327e-05,4.2919648e-05,8.412849e-05,0.0001738783,0.9992317
KPpgsXuFDSJAmVCkoYEh,1.5523257e-05,7.223186e-06,0.9998565,7.907482e-06,7.358749e-06,1.1781945e-05,9.022046e-06,7.370201e-05,1.1016575e-05
KQ8ostHL6kOBWINJ52ia,0.00011591603,8.418755e-06,1.7052866e-05,7.3061146e-06,1.5281832e-05,0.0003244896,1.4880584e-05,0.00041514766,0.9990815
KQNfmuhCZVL2Tdq9P1ox,3.5599984e-05,0.00014113769,1.12006e-05,4.4526996e-06,6.6015004e-06,2.445048e-05,2.3351626e-05,3.678466e-05,0.99971634
KQhBbnIVzkGlFsUrPpEo,0.0031908888,6.9552125e-06,2.2610124e-05,3.5694207e-05,1.9326262e-05,8.431943e-05,1.9171293e-05,0.9965881,3.2872635e-05
KQhmae36WxFwJEP2dRnc,5.5202286e-06,1.7161335e-06,0.9999062,4.40082e-06,8.826476e-06,2.3601688e-05,7.878751e-06,3.1809195e-05,1.0031473e-05
KR0J2r8dC7e5ylv6TBO4,0.023580333,0.00062011805,0.0007009556,0.00079675857,0.07911361,0.0133561045,0.0010849922,0.8755544,0.0051927045
KRESoq4MPIdhamnxB1j0,5.5962287e-06,3.3624798e-05,4.3945915e-06,1.8999887e-06,3.6654337e-06,1.9598923e-05,3.5569217e-06,8.3621395e-05,0.9998441
KRLpB4xIaHO1b6TJDguj,0.9995777,6.2711774e-06,8.434511e-06,5.573503e-05,1.4809467e-05,5.3048498e-05,6.16405e-06,0.00024200128,3.589366e-05
KRYaju0ftAxo8hwE2Qc7,0.00012193702,5.0433227e-05,7.976017e-05,0.0014330874,0.00017819021,0.98333377,6.99666e-05,0.014599568,0.0001332731
KRhgA4WqikOJr5acb7v0,4.8653194e-05,3.0031056e-06,0.9997422,9.99815e-06,1.4597725e-05,1.0499517e-05,1.5376523e-05,0.00014507813,1.0585712e-05
KRo3dktMBreVOTaN91ng,5.1852758e-06,1.61722e-06,0.99992347,4.1337903e-06,7.914765e-06,1.6798194e-05,7.400682e-06,2.4089557e-05,9.422781e-06
KRpbT6s1SYtq9fygWnHa,5.185238e-06,1.7770149e-06,0.9999162,3.7679258e-06,7.369344e-06,1.9421042e-05,7.4006284e-06,2.9878907e-05,9.016185e-06
KRw9UFNH0EMQCDdnq36t,1.3142038e-05,6.1031583e-06,0.9998952,7.0844817e-06,6.59286e-06,1.1603317e-05,8.083042e-06,4.0663148e-05,1.1462219e-05
KSLyD36lVQtdGanhRrom,0.9986369,1.2579671e-05,2.2523982e-05,2.331271e-05,4.4343666e-05,0.00067650486,2.0605914e-05,0.00029664944,0.00026651734
KSTcW2vhyePkXQbsz6pZ,5.0465683e-06,1.8310345e-06,0.999918,3.9786028e-06,6.9147545e-06,1.6798103e-05,7.4006416e-06,2.9878962e-05,1.0125825e-05
KSVWC3EbRgzvAGoXIQNl,0.99988043,4.9331948e-06,3.9010715e-06,1.30000135e-05,4.4541484e-06,1.6069233e-05,2.5101078e-06,3.9008726e-05,3.5720306e-05
KT74PFsiX1OIlzna0yRJ,5.185294e-06,1.8947048e-06,0.9999269,3.9786387e-06,7.035092e-06,1.7141612e-05,7.400708e-06,2.1369491e-05,9.016282e-06
KTOYBD8s0IuAd1NWHmLg,0.00015226322,0.99972445,7.3505043e-06,2.0984487e-06,4.5167526e-06,7.0401566e-06,6.1968212e-06,8.6136104e-05,9.9764375e-06
KTRedlDzcCxjXfn940wM,0.9998211,2.9413875e-06,3.8180688e-06,1.7468911e-06,3.0076135e-06,4.3399414e-05,3.0041992e-06,0.00011822639,2.8118354e-06
KTVaHRWw8vrhGnzDg62e,0.0118823415,0.6684305,0.0018700062,0.0013008378,0.0013562348,0.17354032,0.0017890028,0.1275284,0.012302398
KTdgrwnjmFp50cPYthfb,5.1851916e-06,1.6804244e-06,0.99990726,4.648765e-06,8.290766e-06,2.210698e-05,7.4005625e-06,3.44029e-05,9.016105e-06
KTgxmy2ksDRShJInj83t,5.5202313e-06,1.7161343e-06,0.99990666,4.4008225e-06,8.82648e-06,2.3601699e-05,7.878754e-06,3.180921e-05,9.598677e-06
KTloxO2q73NngdJhIYzj,1.9404726e-05,0.9999244,3.8338217e-06,1.0965024e-06,2.0723337e-06,3.3868578e-06,2.9911414e-06,2.2680993e-05,2.009459e-05
KTx4UZOiNonVyk5pB1vG,1.0196232e-05,1.2651716e-05,7.06395e-06,7.2653525e-06,7.0077813e-06,5.1317846e-05,5.074651e-06,0.99989307,6.3683174e-06
KUbR3CFx4B1wJtqrDz5j,4.9704213e-06,1.6120075e-06,0.99992526,3.978632e-06,7.251105e-06,1.6214955e-05,7.4006957e-06,2.1369455e-05,1.1953912e-05
KUtEoQvRpIP4gJByhmD8,0.9914206,5.3692143e-05,5.0274568e-05,0.0004176937,8.1666585e-05,0.00701824,3.0155581e-05,0.0008495392,7.81082e-05
KUvfya65MoqEk8BsuzeQ,2.32002e-05,0.9998511,2.510168e-06,1.0281285e-06,2.1007631e-06,6.2953427e-06,2.147937e-06,0.000109253815,2.282968e-06
KUwiIgcYGFRtq91M48CQ,3.5664565e-05,1.0651833e-05,1.0581961e-05,5.4500206e-06,2.2702226e-05,0.9994861,9.919477e-06,0.00032819016,9.0747184e-05
KUzHwqAtQyVS5eNlZLdR,3.6165977e-05,0.99991846,3.039444e-06,1.4846642e-06,2.5371153e-06,7.173745e-06,3.8465505e-06,1.8727053e-05,8.560975e-06
KVGdaZAHQ7Sftz3Ypgnh,1.3104028e-05,6.720834e-06,0.999877,6.6751363e-06,6.2119266e-06,1.0012371e-05,7.615993e-06,6.221588e-05,1.0421539e-05
KVN3SHdJotqFwc2REub6,5.592837e-06,1.862343e-06,0.9999131,4.9983205e-06,8.167059e-06,2.4062398e-05,8.201729e-06,2.3682434e-05,1.0319935e-05
KW2CFhO8BsdM6QuHw1vR,0.00019282248,0.99956137,1.3289267e-05,6.322454e-06,1.0834702e-05,1.7503648e-05,1.9989204e-05,0.00015914161,1.8702698e-05
KWLHnUOVig0rYBMcQCjb,5.5203077e-06,1.7740473e-06,0.9999205,4.594929e-06,7.3615647e-06,1.9993258e-05,7.8788635e-06,2.275014e-05,9.59881e-06
KWLxBs14MzJY8RXZGfEN,1.6877728e-05,1.0534974e-05,0.9998404,8.597443e-06,8.000831e-06,1.3632683e-05,9.809257e-06,8.013282e-05,1.1977819e-05
KWi8jT9Aek1lq0yOHVBC,4.5813686e-06,1.6172844e-06,0.9999099,3.6416084e-06,1.1810767e-05,1.9073568e-05,7.4005816e-06,3.157065e-05,1.0470328e-05
