Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,5.628751e-05,1.9482111e-05,1.7753186e-05,2.802429e-05,0.99893254,1.6660626e-05,1.6155906e-05,0.000885537,2.7499764e-05
Ig2DB5tSiEy1cJvV0zdw,0.00042865583,0.00094058673,0.00065847964,0.0018524564,0.9720944,0.00069651863,0.0003669898,0.012216119,0.010745819
Jmo6eIhLZ4t9r8QsxEg5,0.0005147067,0.0014916988,0.0017887673,6.0524348e-05,0.8584814,0.003411014,0.0014153323,0.12394371,0.00889286
JtPFl4ewgdD78OzCMa3o,0.0065160044,0.033877905,0.0030968972,0.002159517,0.49435517,0.22618857,0.0041766106,0.2243025,0.0053267987
K3ZtByPHGSFYNljDUEXp,1.0343625e-05,2.8220782e-06,0.99991906,1.3097258e-05,1.918241e-05,4.8500315e-06,8.43357e-06,1.8300074e-05,3.881642e-06
K5PTipJ9XhUo4ZNeMW2a,1.2345793e-05,1.9030567e-06,0.9999441,6.197822e-06,1.6286402e-06,3.2222947e-06,4.3035916e-06,1.9165593e-05,7.1157388e-06
K5qpgj7bdnhS2r30OEzY,3.554752e-06,2.470495e-06,0.9999225,1.0494353e-05,2.5776276e-06,2.4092178e-05,5.701438e-06,2.2719483e-05,5.8557785e-06
K62VOEBLnk8crZ4MmsXT,3.554752e-06,2.470495e-06,0.9999225,1.0494353e-05,2.5776276e-06,2.4092178e-05,5.701438e-06,2.2719483e-05,5.8557785e-06
K7ZiVIxskzvctNT0qyA3,7.3482047e-06,2.645616e-06,0.99994075,1.5203924e-05,2.5024717e-06,5.540472e-06,5.966555e-06,1.4403189e-05,5.685036e-06
K89sTRoP52wWL7rZUNdt,9.877276e-06,2.4858941e-06,0.99993753,1.9814033e-05,1.8903679e-06,2.5844624e-06,6.9543053e-06,1.5128966e-05,3.7594384e-06
K9moual27cWIk5bJOpiH,1.3993311e-05,3.0220347e-06,0.9999087,2.3821045e-05,1.5393376e-05,1.9095648e-06,1.2359893e-05,1.6984646e-05,3.7683576e-06
KAPHdnDUgF3m5pEGwxXc,4.509663e-06,4.0526647e-06,0.99986446,3.218388e-05,4.2284123e-06,5.7544006e-05,7.238498e-06,1.7746715e-05,8.03073e-06
KB7ybYxf95pdtUoGzl3u,6.6843554e-06,2.410677e-06,0.9999459,6.985878e-06,2.5024844e-06,5.5405008e-06,5.9665854e-06,1.9914924e-05,4.1540106e-06
