Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.0010175046,0.000160992,0.00028485165,0.00026734592,0.95167816,0.0073476643,0.00027244055,0.038861323,0.00010971646
Ig2DB5tSiEy1cJvV0zdw,0.00029246722,5.995734e-06,3.340665e-05,3.8148424e-05,0.9967213,0.00020819227,5.2677267e-05,0.0026172737,3.055867e-05
Jmo6eIhLZ4t9r8QsxEg5,0.0017778693,0.00017866986,0.00099722,0.0023286613,0.936477,0.03279207,0.0009565724,0.023601301,0.0008906144
JtPFl4ewgdD78OzCMa3o,0.007873407,0.0010582905,0.0015358722,0.016171219,0.77093893,0.090567924,0.0016516531,0.10242641,0.0077762958
K3ZtByPHGSFYNljDUEXp,1.39326585e-05,1.7609934e-06,0.99976295,6.592968e-06,6.6662833e-06,4.7778644e-06,3.6544875e-06,0.00019669655,2.966533e-06
K5PTipJ9XhUo4ZNeMW2a,6.670129e-06,7.4092964e-07,0.9998685,4.9877362e-06,3.4168486e-06,2.2030108e-05,2.6087391e-06,8.589109e-05,5.116858e-06
K5qpgj7bdnhS2r30OEzY,5.04684e-06,1.7506437e-06,0.9999261,2.7899434e-06,6.0447833e-06,1.9048628e-05,3.053835e-06,3.2568056e-05,3.5507057e-06
K62VOEBLnk8crZ4MmsXT,4.961986e-06,1.7212096e-06,0.9999262,2.7430353e-06,6.165759e-06,1.8728359e-05,3.00249e-06,3.2020485e-05,4.4816866e-06
K7ZiVIxskzvctNT0qyA3,6.0567645e-06,1.7506277e-06,0.9999169,2.6885652e-06,1.1249632e-05,2.5852733e-05,3.053807e-06,2.807503e-05,4.3146606e-06
K89sTRoP52wWL7rZUNdt,6.9762136e-06,7.6084945e-07,0.99988616,5.2166124e-06,3.573637e-06,2.3040999e-05,2.728451e-06,6.600453e-05,5.579539e-06
K9moual27cWIk5bJOpiH,1.2610036e-05,1.3465387e-06,0.9998605,6.807556e-06,6.3267053e-06,4.8214965e-06,3.589041e-06,0.00010035526,3.564505e-06
KAPHdnDUgF3m5pEGwxXc,5.0468466e-06,1.783005e-06,0.9999274,2.789947e-06,6.271206e-06,1.9048653e-05,3.053839e-06,3.0858097e-05,3.7474088e-06
KB7ybYxf95pdtUoGzl3u,5.0528797e-06,1.7527404e-06,0.9999186,2.793285e-06,6.0520224e-06,2.5883908e-05,3.0574924e-06,3.2607062e-05,4.1674516e-06
KBZ4cC3QsAgrqI80OWlm,4.96199e-06,1.7212109e-06,0.9999269,2.7430372e-06,6.165763e-06,1.8728373e-05,3.0024921e-06,3.2020507e-05,3.6844006e-06
KBZO3jLb5A7ieDWYTMgR,5.046857e-06,1.6413741e-06,0.9999294,2.7899528e-06,6.016128e-06,1.9048692e-05,3.0538451e-06,2.7794216e-05,5.2310916e-06
KBbVJcQrqAu4zROsEwi0,5.046855e-06,1.6413735e-06,0.9999291,2.7899518e-06,6.016126e-06,1.9048684e-05,3.053844e-06,2.7794205e-05,5.5101564e-06
KCvj7cQ1dHEFDBruTZpV,5.6961476e-06,1.7211961e-06,0.99991834,2.7054468e-06,1.1970039e-05,2.0870108e-05,3.0024664e-06,3.234414e-05,3.3395322e-06
KCvjZO7bGhenNRq8xLsf,1.4623662e-05,2.0056257e-06,0.9997292,7.508845e-06,7.3369874e-06,7.987439e-06,4.1621583e-06,0.00022402107,3.1377347e-06
KDHx9P6m25ocdLaqVn8k,1.7696622e-05,1.6495561e-06,0.9998265,8.339497e-06,8.09185e-06,5.906499e-06,4.5854185e-06,0.00012293877,4.366645e-06
KDQ13ouamdPnSlhzTRJe,0.9997514,1.4654924e-05,4.6985087e-06,4.9556193e-06,4.8668003e-06,9.627855e-05,7.1498107e-06,0.0001017988,1.4255281e-05
KE3w1tc4flX7UngQ5yTq,5.0468466e-06,1.783005e-06,0.9999274,2.789947e-06,6.271206e-06,1.9048653e-05,3.053839e-06,3.0858097e-05,3.7474088e-06
KEhusGlH2O4qwTymPZRQ,4.9619925e-06,1.7212119e-06,0.9999275,2.743039e-06,5.7563693e-06,1.8728384e-05,3.002494e-06,3.2020525e-05,3.4910113e-06
KFBXbSr9a8mYC7cDkflH,6.228114e-06,1.800154e-06,0.9999217,2.7646263e-06,1.156788e-05,1.9587327e-05,3.1401978e-06,2.886926e-05,4.4131357e-06
KFHlYPzy0Emni9exLs3C,0.99966466,3.1897187e-05,3.988588e-06,6.298588e-06,3.9676042e-06,1.6430198e-05,4.9935243e-06,0.00023463738,3.3103835e-05
KFboDTnWNsOkzIl8rX6R,5.04684e-06,1.7506437e-06,0.9999261,2.7899434e-06,6.0447833e-06,1.9048628e-05,3.053835e-06,3.2568056e-05,3.5507057e-06
KFczEQCIau7D20MROmHl,1.5168377e-05,1.4872462e-06,0.99982977,6.7270253e-06,7.417738e-06,5.502279e-06,3.841554e-06,0.00012586564,4.1596645e-06
KFlbgmf4GZjHhIsX92Yr,5.69616e-06,1.7211997e-06,0.9999205,2.7054527e-06,1.1970065e-05,1.8728251e-05,3.0024728e-06,3.234421e-05,3.3395393e-06
KG6ZtkgjohnTHX9McR4w,0.9997043,3.6061583e-06,6.613482e-06,8.675849e-06,8.280061e-06,3.6188936e-05,6.7411756e-06,0.00017518502,5.034783e-05
KGA8EhzSPqxyN9wCmeiV,0.00059264933,2.3270048e-05,4.50743e-05,5.114538e-05,0.9927764,0.004463475,3.4772107e-05,0.0019510958,6.218646e-05
KGPCEf430IcB1OpbthkR,0.9974617,0.00024145051,3.088607e-05,2.8412096e-05,4.340797e-05,0.00022917114,3.6904847e-05,0.0014637224,0.0004643529
KHc36DE5SXAedfmtq7pI,0.99968755,2.3850189e-05,7.1827594e-06,1.4606103e-05,1.4191529e-05,7.640027e-05,8.076663e-06,0.00012417059,4.3958004e-05
KHepg3qX6ZWOy2VsdRDQ,0.99976486,3.50201e-06,4.53304e-06,5.049146e-06,7.160218e-06,4.93545e-05,8.099766e-06,0.00014580727,1.1609264e-05
KHpJcA0hTf7yrBuMia3S,0.00015248058,0.004797809,1.9656209e-05,1.7956676e-05,1.4210849e-05,0.000103069484,7.528753e-05,0.00018965642,0.99462986
KI1eOvfhVoEsa50DLQdA,5.0468557e-06,1.6115865e-06,0.9999292,2.789952e-06,6.0161265e-06,1.9048686e-05,3.0538445e-06,2.7794209e-05,5.4249367e-06
KI6VEf2DqSA1MwOmNkne,0.99982697,9.017013e-06,6.2102654e-06,1.2461588e-05,8.105478e-06,2.082464e-05,6.5880163e-06,7.4940435e-05,3.4927663e-05
KI96FxUmuC5XiYrBOhos,1.0311384e-05,2.4826559e-06,0.9998604,3.7116556e-06,1.5953688e-05,5.1873652e-05,4.3307664e-06,4.3815173e-05,7.115177e-06
KIBotXZz3920bRdQDx6q,0.999703,4.4462495e-06,4.6245104e-06,1.0375095e-05,1.7043194e-05,8.760969e-06,5.177226e-06,0.00021521893,3.135892e-05
KJAPc4qD5tMsXxkGVoe7,0.9984023,1.9486908e-05,3.0723444e-05,8.1065395e-05,6.34666e-05,0.00022265503,3.0321116e-05,0.0010048389,0.00014511296
KJfPRg9v7YoDId8Tur36,2.7964557e-05,1.6595352e-05,2.5799047e-06,2.3812665e-06,2.9400508e-06,0.000100046134,3.757002e-06,9.899184e-06,0.9998338
KJrPf2Vo34EFvyHTb5ca,3.26836e-05,2.6067608e-05,3.1546997e-06,3.8252333e-06,2.738455e-06,0.00012114422,7.108317e-06,2.2506512e-05,0.99978083
KLCJ54mcXibYSkrIowea,7.722167e-05,6.9584794e-06,0.9994191,1.5040022e-05,1.6233182e-05,1.5106017e-05,9.0994225e-05,0.00034734397,1.208093e-05
KLWS8rqmP5CaIdl9Rbwt,0.00031167053,0.00088626106,4.761801e-05,3.537216e-05,4.719093e-05,0.997821,7.6289194e-05,0.00061076507,0.00016391475
KMh2yDGU0arC9FsgfAdO,0.99937016,4.5986166e-05,1.6846141e-05,5.0132676e-05,2.3635514e-05,0.0001699261,1.4231239e-05,0.00027122127,3.7883616e-05
KNvsfthG2Pi97V6FbDCL,0.9838161,0.00028888838,9.535844e-05,0.00052689237,0.00029544486,0.0013722171,7.936956e-05,0.0120275775,0.0014982194
