Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.34612218,0.0005659384,0.00067869975,0.011296629,0.17559525,0.2665853,0.00040936685,0.19345474,0.0052919453
Ig2DB5tSiEy1cJvV0zdw,0.013702755,0.00021451472,0.00012663734,0.0005275645,0.88682914,0.06320896,0.000103448714,0.03489809,0.00038890375
Jmo6eIhLZ4t9r8QsxEg5,0.002745262,0.00013090581,6.068777e-05,0.00059650594,0.7072718,0.27972803,3.969244e-05,0.009290345,0.000136756
JtPFl4ewgdD78OzCMa3o,0.014772742,0.00050621637,0.0004742417,0.00040097098,0.0009387215,0.35118452,0.00040659402,0.6308948,0.00042121325
K3ZtByPHGSFYNljDUEXp,1.0635535e-05,6.1478895e-06,0.9998754,2.6950045e-06,5.3541953e-06,3.8711387e-05,3.5967319e-06,3.169376e-05,2.572027e-05
K5PTipJ9XhUo4ZNeMW2a,0.0009470102,2.8874096e-05,0.9988795,9.014425e-06,1.66182e-05,3.2673295e-05,1.7533946e-05,4.046941e-05,2.8276625e-05
K5qpgj7bdnhS2r30OEzY,1.0348139e-05,4.238165e-06,0.99995196,1.8578546e-06,3.69102e-06,8.652719e-06,2.459073e-06,1.2309363e-05,4.4336193e-06
K62VOEBLnk8crZ4MmsXT,8.425652e-06,4.1468297e-06,0.9999553,1.8217823e-06,3.6193549e-06,7.805961e-06,2.4313363e-06,1.20703635e-05,4.34754e-06
K7ZiVIxskzvctNT0qyA3,7.445204e-06,4.1468215e-06,0.99995327,1.8217786e-06,3.6193476e-06,1.1007832e-05,2.4313313e-06,1.2070339e-05,4.1902003e-06
K89sTRoP52wWL7rZUNdt,0.00048386795,1.4753007e-05,0.999426,5.893838e-06,8.490948e-06,1.7620905e-05,8.958842e-06,2.0677551e-05,1.3782695e-05
K9moual27cWIk5bJOpiH,3.7069087e-05,2.168397e-05,0.9995443,3.5708978e-05,1.6120583e-05,0.0001472367,1.5559624e-05,0.00014709299,3.5191053e-05
KAPHdnDUgF3m5pEGwxXc,1.0147192e-05,4.146819e-06,0.9999527,1.8217776e-06,3.6193455e-06,9.611201e-06,2.5084178e-06,1.12387e-05,4.190198e-06
KB7ybYxf95pdtUoGzl3u,8.9664445e-06,4.1558733e-06,0.9999536,1.8217793e-06,3.619349e-06,9.930451e-06,2.50842e-06,1.1638963e-05,3.6737624e-06
KBZ4cC3QsAgrqI80OWlm,8.425613e-06,4.155861e-06,0.99995065,1.8217738e-06,3.619338e-06,1.3595649e-05,2.431325e-06,1.1638927e-05,3.6737515e-06
KBZO3jLb5A7ieDWYTMgR,7.4451614e-06,4.146798e-06,0.99994755,1.8217681e-06,3.619327e-06,9.291367e-06,2.3372031e-06,2.011068e-05,3.6737401e-06
KBbVJcQrqAu4zROsEwi0,8.966428e-06,4.155866e-06,0.99995184,1.821776e-06,3.6193424e-06,1.1482858e-05,2.4113215e-06,1.2070322e-05,3.6737558e-06
KCvj7cQ1dHEFDBruTZpV,9.230781e-06,4.2690735e-06,0.99994195,1.8754863e-06,3.7260495e-06,1.1122284e-05,2.58237e-06,2.1471013e-05,3.7820669e-06
KCvjZO7bGhenNRq8xLsf,9.97961e-06,4.3629834e-06,0.99991167,1.9125687e-06,3.2435807e-06,2.1340551e-05,2.552499e-06,3.517526e-05,9.705862e-06
