Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,2.622232e-05,5.9751063e-05,1.702423e-05,0.0011760416,0.9951131,0.0023240177,1.2790371e-05,0.0005776079,0.0006934802
Ig2DB5tSiEy1cJvV0zdw,1.1182673e-05,3.4297816e-05,5.923478e-06,0.000650928,0.9935493,0.0003058421,5.2990827e-06,0.00017298084,0.005264333
Jmo6eIhLZ4t9r8QsxEg5,5.8205493e-05,0.0012711571,0.00034097288,0.008363745,0.9843395,0.0010735836,5.616047e-05,0.0012853311,0.0032113611
JtPFl4ewgdD78OzCMa3o,0.009707114,0.02181352,0.001012751,0.15805553,0.6158536,0.09946251,0.002647536,0.024034448,0.06741296
K3ZtByPHGSFYNljDUEXp,6.1895144e-06,3.0555868e-06,0.9999713,3.3470074e-06,9.116735e-07,3.376026e-06,2.0521734e-06,6.8994914e-06,2.8398017e-06
K5PTipJ9XhUo4ZNeMW2a,3.157631e-05,1.4374038e-05,0.999928,1.3006044e-06,1.4681148e-06,1.083757e-05,1.6619459e-06,4.4470976e-06,6.329576e-06
K5qpgj7bdnhS2r30OEzY,1.4811127e-05,4.087286e-06,0.9999577,1.2381245e-06,1.3633534e-06,8.68039e-06,3.036498e-06,4.2334627e-06,4.8343604e-06
K62VOEBLnk8crZ4MmsXT,1.4858776e-05,1.3683351e-05,0.9999453,1.2381091e-06,1.2894362e-06,1.0316813e-05,3.1533957e-06,4.2334104e-06,5.954951e-06
K7ZiVIxskzvctNT0qyA3,7.636883e-05,1.8669565e-05,0.99985373,3.8312555e-06,1.058768e-05,1.6107115e-05,2.8439017e-06,1.0875082e-05,7.0022083e-06
K89sTRoP52wWL7rZUNdt,7.2962976e-05,1.1067992e-05,0.9998722,7.769509e-06,2.5010308e-06,1.182583e-05,3.147418e-06,8.211255e-06,1.0339314e-05
K9moual27cWIk5bJOpiH,9.107995e-06,4.2690876e-06,0.9999443,1.382185e-05,1.6736461e-06,5.5572405e-06,2.076401e-06,1.3962269e-05,5.1809848e-06
KAPHdnDUgF3m5pEGwxXc,1.4772188e-05,4.0626e-06,0.9999573,1.3545931e-06,1.3460143e-06,9.929483e-06,1.6515068e-06,4.419164e-06,5.1789625e-06
KB7ybYxf95pdtUoGzl3u,4.514445e-05,4.4778035e-06,0.99992824,1.1859105e-06,1.4419879e-06,1.04286555e-05,1.0930788e-06,4.1506264e-06,3.8638022e-06
KBZ4cC3QsAgrqI80OWlm,5.1726824e-05,5.130698e-06,0.99990404,1.3478975e-06,7.989194e-06,1.6148191e-05,4.0639798e-06,6.1594155e-06,3.3969652e-06
KBZO3jLb5A7ieDWYTMgR,1.9332127e-05,1.5201785e-05,0.9999403,1.3942155e-06,1.4520142e-06,1.0318247e-05,1.7815645e-06,4.7671774e-06,5.5199694e-06
KBbVJcQrqAu4zROsEwi0,3.092435e-05,1.4077256e-05,0.9999312,1.2737507e-06,1.3265555e-06,1.0303297e-05,1.6276317e-06,4.355278e-06,4.913968e-06
KCvj7cQ1dHEFDBruTZpV,5.1727402e-05,5.1307557e-06,0.99991524,1.3479126e-06,1.7239358e-06,1.3855049e-05,1.4368325e-06,6.1594847e-06,3.3216647e-06
KCvjZO7bGhenNRq8xLsf,3.3601314e-05,3.138168e-06,0.99994075,5.4564844e-06,1.0122226e-06,2.8266916e-06,1.1470893e-06,9.152509e-06,2.9158002e-06
KDHx9P6m25ocdLaqVn8k,6.7676838e-06,7.932177e-06,0.999962,5.6056488e-06,1.0159191e-06,3.9054175e-06,1.1512783e-06,8.164382e-06,3.4368886e-06
KDQ13ouamdPnSlhzTRJe,0.99794835,0.0002223972,7.129916e-06,1.4388109e-05,1.2287475e-05,3.4879933e-05,3.4548706e-05,0.0017086352,1.7355207e-05
