Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,9.189364e-05,2.694402e-05,4.5371635e-05,2.510271e-05,0.99828327,0.00014274566,1.5619215e-05,0.0013398319,2.920197e-05
Ig2DB5tSiEy1cJvV0zdw,0.0006910372,0.004590983,0.0008886423,0.0003380504,0.9778325,0.0009480139,0.00032274364,0.0124673685,0.0019206796
Jmo6eIhLZ4t9r8QsxEg5,0.0013366778,0.0025414042,0.003492812,0.00017483757,0.93417245,0.00076294167,0.0007948587,0.04968289,0.0070411647
JtPFl4ewgdD78OzCMa3o,0.003592549,0.008254746,0.0044106375,0.000615885,0.3141942,0.02620476,0.0010339862,0.6247343,0.016958995
K3ZtByPHGSFYNljDUEXp,7.1204236e-06,3.1559166e-06,0.9998927,2.6639552e-06,9.346178e-06,2.5833167e-06,5.564006e-06,7.267592e-05,4.1851267e-06
K5PTipJ9XhUo4ZNeMW2a,1.6638103e-05,1.6777353e-06,0.9999404,1.0124757e-05,1.5606956e-06,1.3197298e-06,5.4606157e-06,1.8170713e-05,4.6841656e-06
K5qpgj7bdnhS2r30OEzY,4.3099126e-06,3.2850496e-06,0.9998983,1.2069549e-05,3.1123382e-06,1.9289384e-05,7.0521737e-06,4.5998888e-05,6.6028097e-06
K62VOEBLnk8crZ4MmsXT,4.3099362e-06,3.2850676e-06,0.9999038,1.2069614e-05,3.1123552e-06,1.3739521e-05,7.0522124e-06,4.5999142e-05,6.6028456e-06
K7ZiVIxskzvctNT0qyA3,4.6791174e-06,2.9897667e-06,0.9999273,1.0733275e-05,2.2203592e-06,1.1725186e-05,6.283861e-06,2.7702914e-05,6.320469e-06
K89sTRoP52wWL7rZUNdt,7.45259e-06,2.558749e-06,0.999933,1.6126267e-05,2.0460993e-06,1.7696659e-06,8.67646e-06,2.4028617e-05,4.3782907e-06
K9moual27cWIk5bJOpiH,1.6448555e-05,4.9314e-06,0.9998161,2.794997e-06,1.6413735e-05,3.3595954e-06,1.8553457e-05,0.00011403337,7.374455e-06
KAPHdnDUgF3m5pEGwxXc,3.840909e-06,3.3939084e-06,0.99992883,2.9414115e-05,2.679551e-06,3.702576e-06,4.7092394e-06,1.7989012e-05,5.3775966e-06
KB7ybYxf95pdtUoGzl3u,3.7318825e-06,2.9898026e-06,0.9999393,4.002626e-06,2.2203858e-06,1.1725327e-05,6.2839367e-06,2.459904e-05,5.144132e-06
KBZ4cC3QsAgrqI80OWlm,3.4035008e-06,2.989787e-06,0.9999341,4.0026052e-06,2.2203742e-06,1.1725265e-05,6.2839035e-06,3.0103569e-05,5.1441048e-06
KBZO3jLb5A7ieDWYTMgR,7.452578e-06,3.9138135e-06,0.99993134,1.612624e-05,2.0234775e-06,2.0192654e-06,8.676446e-06,2.4028577e-05,4.3782834e-06
KBbVJcQrqAu4zROsEwi0,7.452578e-06,3.9138135e-06,0.99993134,1.612624e-05,2.0234775e-06,2.0192654e-06,8.676446e-06,2.4028577e-05,4.3782834e-06
KCvj7cQ1dHEFDBruTZpV,3.4035002e-06,2.9897863e-06,0.99993384,4.0026043e-06,2.2203737e-06,1.1725262e-05,6.283902e-06,3.0103562e-05,5.4104694e-06
KCvjZO7bGhenNRq8xLsf,8.495624e-06,2.8721981e-06,0.9999087,3.1132965e-06,7.744661e-06,1.7498604e-06,4.9577557e-06,5.856354e-05,3.8088854e-06
KDHx9P6m25ocdLaqVn8k,1.2152345e-05,4.1084613e-06,0.99986076,4.453334e-06,1.2126621e-05,2.4821004e-06,1.4723619e-05,8.37707e-05,5.4483216e-06
KDQ13ouamdPnSlhzTRJe,0.9993938,3.70423e-05,6.509877e-06,2.3092894e-06,1.6372136e-05,2.1340587e-05,2.66908e-05,0.00026454983,0.00023136167
KE3w1tc4flX7UngQ5yTq,3.840909e-06,3.3939084e-06,0.99992883,2.9414115e-05,2.679551e-06,3.702576e-06,4.7092394e-06,1.7989012e-05,5.3775966e-06
KEhusGlH2O4qwTymPZRQ,4.3099126e-06,3.2850496e-06,0.9998983,1.2069549e-05,3.1123382e-06,1.9289384e-05,7.0521737e-06,4.5998888e-05,6.6028097e-06
KFBXbSr9a8mYC7cDkflH,4.6791174e-06,2.9897667e-06,0.9999273,1.0733275e-05,2.2203592e-06,1.1725186e-05,6.283861e-06,2.7702914e-05,6.320469e-06
KFHlYPzy0Emni9exLs3C,0.9996119,0.000190902,9.3864855e-06,1.3527028e-06,1.897714e-05,1.032935e-05,1.3143803e-05,0.00013713907,6.8686095e-06
KFboDTnWNsOkzIl8rX6R,3.8409303e-06,7.214696e-06,0.99993443,2.0264377e-05,2.6166779e-06,3.5131286e-06,4.709266e-06,1.7987295e-05,5.377627e-06
KFczEQCIau7D20MROmHl,2.466432e-05,1.4629622e-05,0.9997209,6.173258e-06,1.5625994e-05,2.0449545e-05,1.1299021e-05,0.0001763373,9.969802e-06
KFlbgmf4GZjHhIsX92Yr,3.4035002e-06,2.9897863e-06,0.99993384,4.0026043e-06,2.2203737e-06,1.1725262e-05,6.283902e-06,3.0103562e-05,5.4104694e-06
KG6ZtkgjohnTHX9McR4w,0.9994659,0.0003535771,5.0799817e-06,7.986062e-07,2.1631853e-05,8.175372e-06,8.932871e-06,0.00010795543,2.802626e-05
KGA8EhzSPqxyN9wCmeiV,0.0007979446,0.007025892,0.0019571695,0.003930212,0.7123431,0.16565934,0.0014466001,0.10018466,0.006655026
KGPCEf430IcB1OpbthkR,0.9997435,0.00012531152,5.811706e-06,3.1469167e-06,8.424478e-06,4.5758232e-05,4.801391e-06,4.185135e-05,2.1371623e-05
KHc36DE5SXAedfmtq7pI,0.9998109,2.0261505e-05,1.2868891e-05,6.478968e-06,2.0421274e-05,1.4937902e-05,1.457537e-05,3.1657124e-05,6.7950205e-05
KHepg3qX6ZWOy2VsdRDQ,0.9997423,2.0657208e-05,1.2563295e-05,4.3058762e-06,2.927328e-05,2.4842135e-05,3.7251088e-05,7.796112e-05,5.0816656e-05
KHpJcA0hTf7yrBuMia3S,3.7665246e-05,5.8245125e-05,4.5291497e-05,2.0805803e-05,0.00022472131,4.227183e-05,4.5931698e-05,0.0006644584,0.9988606
