Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.085192844,0.0045194733,0.006257588,0.0008528596,0.88279223,0.0020661743,0.0010434686,0.015563466,0.0017118376
Ig2DB5tSiEy1cJvV0zdw,0.0076662838,0.003180315,0.0014597485,0.00035224066,0.97946495,0.003992457,0.00072495994,0.002371397,0.000787595
Jmo6eIhLZ4t9r8QsxEg5,0.6630182,0.018514495,0.03274772,0.0039545926,0.014429476,0.011073993,0.0072164615,0.24139468,0.0076503297
JtPFl4ewgdD78OzCMa3o,0.04562673,0.002530213,0.002528129,0.003101757,0.34223533,0.044654343,0.0021138191,0.5514721,0.005737586
K3ZtByPHGSFYNljDUEXp,2.5935105e-05,4.57851e-05,0.9997373,2.3800887e-05,1.3885689e-05,1.21407675e-05,3.7963116e-05,8.9246736e-05,1.3863591e-05
K5PTipJ9XhUo4ZNeMW2a,1.4494055e-05,1.909495e-05,0.9998448,1.7824625e-05,4.7176018e-05,7.331527e-06,1.0230297e-05,2.7279935e-05,1.1704288e-05
K5qpgj7bdnhS2r30OEzY,1.0072139e-05,1.482802e-05,0.99990356,8.487668e-06,1.943638e-05,9.7457505e-06,9.839091e-06,1.1523419e-05,1.2525862e-05
K62VOEBLnk8crZ4MmsXT,1.5926295e-05,1.7838049e-05,0.9998776,6.634219e-06,3.4789908e-05,9.472009e-06,1.0230633e-05,2.0945801e-05,6.59736e-06
K7ZiVIxskzvctNT0qyA3,1.178612e-05,1.2700314e-05,0.9999075,8.440754e-06,1.6556942e-05,6.990921e-06,8.33332e-06,1.642667e-05,1.1261334e-05
K89sTRoP52wWL7rZUNdt,2.9712251e-05,5.1550305e-05,0.9997435,2.1757567e-05,7.036771e-05,2.4675253e-05,1.6644572e-05,2.1426396e-05,2.0298006e-05
K9moual27cWIk5bJOpiH,2.5572679e-05,2.9091305e-05,0.999796,1.798784e-05,1.4359262e-05,2.0892921e-05,2.7198774e-05,5.7403482e-05,1.152141e-05
KAPHdnDUgF3m5pEGwxXc,0.00012339964,7.678836e-06,0.9997918,3.2390067e-06,2.3405672e-05,1.098657e-05,8.332356e-06,2.2400292e-05,8.744018e-06
KB7ybYxf95pdtUoGzl3u,2.5689813e-05,6.592919e-05,0.99980265,1.258223e-05,1.803217e-05,2.2718232e-05,1.6767533e-05,2.1739108e-05,1.3959679e-05
KBZ4cC3QsAgrqI80OWlm,1.4588111e-05,2.3232393e-05,0.9999074,6.0920497e-06,1.0777135e-05,6.0197835e-06,1.002131e-05,1.0940213e-05,1.0913868e-05
KBZO3jLb5A7ieDWYTMgR,1.5826437e-05,2.813951e-05,0.999884,1.3309694e-05,8.647882e-06,7.0696146e-06,1.2303022e-05,2.0987747e-05,9.658521e-06
KBbVJcQrqAu4zROsEwi0,1.4381262e-05,2.8139562e-05,0.9998859,1.3309718e-05,1.2156453e-05,6.308056e-06,1.0181954e-05,1.99027e-05,9.658539e-06
KCvj7cQ1dHEFDBruTZpV,1.4588096e-05,2.3232367e-05,0.9999063,5.665994e-06,1.0777124e-05,7.644115e-06,1.0069296e-05,1.029582e-05,1.14721115e-05
KCvjZO7bGhenNRq8xLsf,2.0597687e-05,2.5252679e-05,0.9998198,1.5614341e-05,2.5459865e-05,9.951598e-06,2.6103951e-05,4.717124e-05,1.00011575e-05
KDHx9P6m25ocdLaqVn8k,3.1359148e-05,5.0621067e-05,0.9996846,3.800063e-05,1.8461888e-05,1.4739834e-05,3.7484162e-05,0.00011001921,1.4813226e-05
KDQ13ouamdPnSlhzTRJe,0.9992855,9.20318e-05,3.3480745e-05,1.6217085e-05,3.2854685e-05,3.9857463e-05,2.1016333e-05,0.0004491883,2.9831514e-05
KE3w1tc4flX7UngQ5yTq,0.00012340002,7.678859e-06,0.9997949,3.2390167e-06,2.0356936e-05,1.0986604e-05,8.736559e-06,2.2400363e-05,8.3185505e-06
KEhusGlH2O4qwTymPZRQ,8.944538e-06,1.3167987e-05,0.9999118,7.5374537e-06,2.2096541e-05,6.8348695e-06,8.333356e-06,1.0233344e-05,1.1084476e-05
KFBXbSr9a8mYC7cDkflH,1.0774309e-05,1.2700373e-05,0.99991214,8.440794e-06,1.1643641e-05,7.462477e-06,1.0069354e-05,1.551684e-05,1.1261386e-05
KFHlYPzy0Emni9exLs3C,0.9967705,0.0024850627,4.6766454e-05,4.028146e-05,4.8981667e-05,4.749205e-05,4.8197082e-05,0.00044634714,6.635567e-05
KFboDTnWNsOkzIl8rX6R,4.004236e-05,8.2365605e-06,0.99988604,3.5077796e-06,9.144304e-06,1.09876055e-05,8.7373555e-06,2.499045e-05,8.319309e-06
KFczEQCIau7D20MROmHl,4.9976836e-05,5.4203832e-05,0.99964595,2.4484296e-05,3.639177e-05,2.3730428e-05,6.951233e-05,7.280816e-05,2.2958046e-05
KFlbgmf4GZjHhIsX92Yr,2.222789e-05,3.3342378e-05,0.99984944,8.633278e-06,1.642111e-05,1.5950227e-05,1.5342592e-05,2.1153965e-05,1.7480048e-05
KG6ZtkgjohnTHX9McR4w,0.97946143,0.001612036,0.0011227999,0.00058495987,0.0010085411,0.002132873,0.001104717,0.010569283,0.0024033815
KGA8EhzSPqxyN9wCmeiV,0.008431054,0.0023079626,0.0034557562,0.000760782,0.6881961,0.21198548,0.0010851321,0.08160231,0.0021754333
KGPCEf430IcB1OpbthkR,0.9995716,4.3889657e-05,4.2487256e-05,1.0841118e-05,1.9416311e-05,2.6644704e-05,8.298451e-05,0.00018089428,2.1239606e-05
KHc36DE5SXAedfmtq7pI,0.9993699,3.1003885e-05,1.8665192e-05,1.4144585e-05,0.00014752173,3.284734e-05,1.3764661e-05,0.00034733946,2.48249e-05
KHepg3qX6ZWOy2VsdRDQ,0.9989888,0.00018617736,9.047154e-05,2.045397e-05,2.8078704e-05,5.804598e-05,0.00023152477,0.0003642354,3.2143096e-05
KHpJcA0hTf7yrBuMia3S,0.00055346586,0.00019282213,2.0372281e-05,2.5530984e-05,2.2950104e-05,3.7763883e-05,0.0008086357,0.0001536138,0.99818486
KI1eOvfhVoEsa50DLQdA,2.411458e-05,4.2875887e-05,0.9998202,2.0279844e-05,1.8743416e-05,1.4204935e-05,1.5514112e-05,2.8693607e-05,1.5469344e-05
KI6VEf2DqSA1MwOmNkne,0.9997154,1.5743011e-05,1.0029903e-05,8.774866e-06,1.1299034e-05,1.5051384e-05,9.201253e-06,0.00019041718,2.404012e-05
KI96FxUmuC5XiYrBOhos,1.4539e-05,1.9426594e-05,0.999895,1.8915905e-05,1.0042004e-05,6.3847906e-06,9.1512175e-06,1.43453535e-05,1.2215239e-05
KIBotXZz3920bRdQDx6q,0.9992092,3.3660795e-05,4.8212998e-05,2.2246179e-05,5.2170668e-05,3.7230973e-05,7.784276e-05,0.00034112777,0.00017828667
KJAPc4qD5tMsXxkGVoe7,0.97235703,0.010984758,0.0009594463,0.00078040303,0.0013455085,0.0015869992,0.00224722,0.007395567,0.002343091
KJfPRg9v7YoDId8Tur36,0.00032729475,3.4997174e-05,1.8640363e-05,9.020994e-06,1.8275887e-05,3.8890998e-05,1.5888543e-05,0.00022034049,0.9993167
KJrPf2Vo34EFvyHTb5ca,0.00056099077,4.3768217e-05,1.863649e-05,9.01912e-06,1.827209e-05,4.2482825e-05,1.8512246e-05,0.00017922495,0.9991091
KLCJ54mcXibYSkrIowea,2.9979119e-05,6.325413e-05,0.9997311,3.211098e-05,1.42227955e-05,1.1590885e-05,6.351908e-05,4.1880776e-05,1.23293985e-05
KLWS8rqmP5CaIdl9Rbwt,6.448057e-05,0.00014409937,1.3675431e-05,0.00015771421,1.64242e-05,0.9993674,3.2201708e-05,6.704215e-05,0.00013693995
KMh2yDGU0arC9FsgfAdO,0.99161106,0.0001267262,6.7837726e-05,5.934917e-05,0.00029362645,0.0006705846,7.5197444e-05,0.0016678948,0.0054277945
KNvsfthG2Pi97V6FbDCL,0.9908839,0.0002616648,9.247157e-05,0.00018493159,0.0027591502,0.0022568267,0.00017359681,0.0025866972,0.0008007935
KOFjpx4N2u1EAGMIT38i,0.97267973,0.0010006176,0.0003582719,0.00025196446,0.000392657,0.0011443389,0.00049776054,0.023216944,0.0004577576
KOHC6vwryfx39bNpQI1W,1.08984705e-05,9.0293515e-06,0.9999126,1.0853797e-05,1.1476025e-05,7.4624804e-06,1.006936e-05,1.4798882e-05,1.2734836e-05
KOIqk23f0eh6GBvmCJAi,4.8359852e-05,7.333769e-05,1.0682906e-05,3.7107933e-05,1.2830177e-05,0.9987852,1.8196723e-05,7.65122e-05,0.00093777035
KOnRu8zyDgf3SPZW0B5i,0.79703176,0.19909035,0.00022274526,0.00018117855,0.00092625374,0.0003608475,0.00018998234,0.0016676368,0.0003292844
KOtPQ3YMr9VwShdCkW0G,2.4239094e-05,2.8909342e-05,0.9998566,7.912756e-06,2.6950194e-05,1.18636e-05,1.4021609e-05,1.2831759e-05,1.6659382e-05
KP9YUkWe0mdVXatfb3J4,0.996442,0.00023937115,4.943756e-05,5.279471e-05,5.937454e-05,0.0011540485,4.9137252e-05,0.0014178377,0.0005359768
KPDpswWqXRhCrfcSiYFU,1.45880995e-05,2.3232373e-05,0.99990654,5.6659956e-06,1.0777127e-05,7.6441165e-06,1.0069298e-05,1.0016296e-05,1.1472114e-05
KPE5wLGxWJpShlYAoMDt,0.00015007227,0.00011578983,1.472754e-05,1.9839023e-05,1.7687784e-05,6.645554e-05,0.002097812,0.00021270824,0.9973049
KPpgsXuFDSJAmVCkoYEh,1.2737532e-05,1.2352848e-05,0.99986494,1.5223096e-05,5.0875893e-05,8.167101e-06,8.737171e-06,1.7012646e-05,9.996022e-06
KQ8ostHL6kOBWINJ52ia,0.00029268273,7.190411e-06,5.6328863e-06,3.263337e-06,6.611293e-06,7.2311695e-06,4.1241274e-06,0.0002121652,0.9994611
KQNfmuhCZVL2Tdq9P1ox,5.1330626e-05,0.00025066955,1.0515976e-05,3.121295e-05,1.2629694e-05,0.00018628727,0.00020584697,3.595289e-05,0.9992155
KQhBbnIVzkGlFsUrPpEo,0.004148863,0.00011950268,0.00028033988,0.00010999867,0.00031941468,0.000295492,0.0003587134,0.99407285,0.00029477372
KQhmae36WxFwJEP2dRnc,9.680563e-06,1.5418507e-05,0.9999033,8.8256675e-06,1.6004034e-05,8.003006e-06,1.2362185e-05,1.33541835e-05,1.2978904e-05
KR0J2r8dC7e5ylv6TBO4,0.0063140937,0.15818231,0.081102386,0.009593297,0.041919943,0.02648659,0.4405792,0.22245868,0.013363473
KRESoq4MPIdhamnxB1j0,0.00013862085,9.400053e-05,1.2066644e-05,6.8874775e-05,1.3593507e-05,0.000147675,1.1069734e-05,0.00018807163,0.999326
KRLpB4xIaHO1b6TJDguj,0.99935156,2.6763408e-05,3.639473e-05,2.0695918e-05,5.4749547e-05,0.00014643722,0.00013474059,0.0001534261,7.518873e-05
KRYaju0ftAxo8hwE2Qc7,0.00074585,7.1509916e-05,4.305874e-05,3.4464967e-05,4.735269e-05,0.98855025,4.2356744e-05,0.010223457,0.00024171636
KRhgA4WqikOJr5acb7v0,1.9785424e-05,2.4256875e-05,0.9998374,1.4998596e-05,1.8036548e-05,9.55917e-06,2.507458e-05,4.1300482e-05,9.606775e-06
KRo3dktMBreVOTaN91ng,1.5346965e-05,2.2593518e-05,0.9998492,1.2932711e-05,3.115412e-05,1.41701685e-05,1.4991866e-05,1.9554198e-05,1.9991472e-05
KRpbT6s1SYtq9fygWnHa,1.3282315e-05,1.8927029e-05,0.99988675,1.7825372e-05,8.53226e-06,9.713435e-06,1.236198e-05,2.4735928e-05,7.81028e-06
KRw9UFNH0EMQCDdnq36t,1.2378929e-05,1.6950125e-05,0.99988925,1.5223466e-05,2.1273363e-05,6.2616323e-06,8.737384e-06,1.9331768e-05,1.0567164e-05
