Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,3.1526844e-05,1.593249e-05,3.4432298e-05,3.240117e-05,0.99892527,0.0003460257,8.7782515e-05,0.00044580555,8.08002e-05
Ig2DB5tSiEy1cJvV0zdw,1.42317e-05,1.141147e-05,2.1670494e-05,2.1156067e-05,0.99928147,0.00020189906,0.00010400786,0.00025049012,9.366516e-05
Jmo6eIhLZ4t9r8QsxEg5,6.772123e-05,4.756471e-05,8.8281515e-05,8.9629e-05,0.99720985,0.00055373844,0.00039977292,0.001082607,0.00046078113
JtPFl4ewgdD78OzCMa3o,0.0070033637,0.0067707147,0.005961193,0.00793347,0.85502076,0.034612674,0.0052105817,0.036138512,0.041348714
K3ZtByPHGSFYNljDUEXp,4.868183e-06,6.5664935e-06,0.99990106,1.1231359e-05,1.1541185e-05,1.3424153e-05,1.32659725e-05,2.7380673e-05,1.066565e-05
K5PTipJ9XhUo4ZNeMW2a,1.3718317e-05,9.843396e-06,0.9998814,9.983772e-06,1.0451753e-05,1.4221922e-05,1.4180034e-05,1.5385589e-05,3.0763385e-05
K5qpgj7bdnhS2r30OEzY,1.3196238e-05,4.8559305e-06,0.9999082,1.03096345e-05,1.3456562e-05,1.416121e-05,1.1580209e-05,1.2725712e-05,1.1461843e-05
K62VOEBLnk8crZ4MmsXT,1.2662364e-05,6.0132375e-06,0.99990463,1.0309598e-05,1.2728154e-05,1.7787142e-05,1.1085528e-05,1.2725666e-05,1.2090973e-05
K7ZiVIxskzvctNT0qyA3,1.3196162e-05,4.7581225e-06,0.9999025,1.26448385e-05,1.752984e-05,1.5075465e-05,1.1965352e-05,1.2592491e-05,9.698121e-06
K89sTRoP52wWL7rZUNdt,1.3718413e-05,9.843465e-06,0.9998884,9.983842e-06,1.0451827e-05,1.5479403e-05,1.4180133e-05,1.044782e-05,2.749567e-05
K9moual27cWIk5bJOpiH,5.829839e-06,8.460536e-06,0.99987566,1.4470926e-05,1.4065243e-05,1.905706e-05,1.7092418e-05,3.603093e-05,9.256306e-06
KAPHdnDUgF3m5pEGwxXc,1.6937323e-05,4.855925e-06,0.99990714,8.231896e-06,1.1726996e-05,1.6733311e-05,1.1000703e-05,1.1893008e-05,1.14618315e-05
KB7ybYxf95pdtUoGzl3u,1.31962615e-05,4.855939e-06,0.99991,1.0769201e-05,1.3456585e-05,1.3531844e-05,1.1965442e-05,1.2543611e-05,9.6818285e-06
KBZ4cC3QsAgrqI80OWlm,1.2662181e-05,4.855843e-06,0.9998902,1.1903188e-05,1.7849761e-05,2.160839e-05,1.2499097e-05,1.8304398e-05,1.0116789e-05
KBZO3jLb5A7ieDWYTMgR,1.3196277e-05,6.013277e-06,0.9999112,1.0309665e-05,1.2728237e-05,1.3241307e-05,1.1085601e-05,1.0122473e-05,1.2091052e-05
KBbVJcQrqAu4zROsEwi0,1.2662474e-05,4.8559555e-06,0.99991333,1.0309688e-05,1.2398154e-05,1.2732466e-05,1.1965482e-05,9.692577e-06,1.2091078e-05
KCvj7cQ1dHEFDBruTZpV,1.2999759e-05,6.173469e-06,0.99990284,1.2220533e-05,1.3439586e-05,1.6084374e-05,1.2832339e-05,1.3034593e-05,1.0386515e-05
KCvjZO7bGhenNRq8xLsf,1.229657e-05,6.132998e-06,0.999905,1.0489896e-05,1.0779268e-05,1.0355323e-05,1.2789484e-05,2.5573077e-05,6.539734e-06
KDHx9P6m25ocdLaqVn8k,4.6405253e-06,6.5499466e-06,0.99990714,1.0504244e-05,1.0888977e-05,1.2140548e-05,1.3232543e-05,2.7864962e-05,6.9843345e-06
KDQ13ouamdPnSlhzTRJe,0.99966836,3.532458e-05,5.7524185e-06,1.0581558e-05,5.1461134e-06,1.2712143e-05,4.2777465e-06,0.00024735372,1.0538978e-05
KE3w1tc4flX7UngQ5yTq,1.693736e-05,4.8559355e-06,0.9999093,7.74918e-06,1.172702e-05,1.4691722e-05,1.1000727e-05,1.2319583e-05,1.1461856e-05
KEhusGlH2O4qwTymPZRQ,1.2662393e-05,4.855924e-06,0.9999069,1.0309622e-05,1.2728183e-05,1.6733307e-05,1.2499305e-05,1.1893006e-05,1.1461829e-05
KFBXbSr9a8mYC7cDkflH,1.3718652e-05,5.8921596e-06,0.9999058,1.1903374e-05,1.7529897e-05,1.371185e-05,1.2499292e-05,9.2200835e-06,9.698154e-06
KFHlYPzy0Emni9exLs3C,0.9998696,6.3471225e-06,4.3161517e-06,7.6146584e-06,5.7902475e-06,3.3189704e-06,2.5939314e-06,9.4647505e-05,5.72908e-06
KFboDTnWNsOkzIl8rX6R,1.7651377e-05,6.0132465e-06,0.9999062,7.749157e-06,1.2398064e-05,1.47832425e-05,1.1442806e-05,1.2285075e-05,1.1461821e-05
KFczEQCIau7D20MROmHl,8.309362e-06,1.1728386e-05,0.9997483,2.0060264e-05,2.294505e-05,4.760845e-05,2.4386709e-05,0.000101478814,1.5202578e-05
KFlbgmf4GZjHhIsX92Yr,1.3196132e-05,6.013211e-06,0.9999002,1.19033075e-05,1.6883761e-05,1.5461012e-05,1.1000627e-05,1.5240891e-05,1.011689e-05
KG6ZtkgjohnTHX9McR4w,0.99987125,3.294803e-06,3.6703432e-06,7.073449e-06,2.879913e-06,5.149149e-05,2.7823137e-06,4.9397568e-05,8.128603e-06
KGA8EhzSPqxyN9wCmeiV,6.9748e-05,4.757317e-05,8.287363e-05,8.954283e-05,0.9838128,0.01499175,8.994235e-05,0.0006462171,0.00016947383
KGPCEf430IcB1OpbthkR,0.99982834,3.6825393e-05,6.666611e-06,1.2002259e-05,5.4689103e-06,2.751133e-05,5.4461602e-06,5.381928e-05,2.3859055e-05
KHc36DE5SXAedfmtq7pI,0.9999223,9.134246e-06,5.423513e-06,9.788081e-06,4.988347e-06,9.469515e-06,3.259439e-06,2.3497365e-05,1.2175911e-05
KHepg3qX6ZWOy2VsdRDQ,0.9997248,2.9109133e-05,1.616494e-05,3.1849922e-05,1.6443148e-05,3.130009e-05,1.4330251e-05,9.146585e-05,4.4459164e-05
KHpJcA0hTf7yrBuMia3S,6.353508e-05,0.00011660775,3.74384e-05,2.9143597e-05,2.6666934e-05,0.00012946925,4.1542065e-05,0.00014371148,0.99941194
KI1eOvfhVoEsa50DLQdA,1.319626e-05,6.013269e-06,0.9999099,1.07692e-05,1.1727027e-05,1.441195e-05,1.2499342e-05,9.383205e-06,1.2091036e-05
KI6VEf2DqSA1MwOmNkne,0.99991715,6.2804306e-06,4.314637e-06,7.7868235e-06,3.9231227e-06,1.760972e-05,3.1044076e-06,1.7762464e-05,2.2004806e-05
KI96FxUmuC5XiYrBOhos,1.3196248e-05,5.892178e-06,0.9999089,1.0309643e-05,1.7529952e-05,1.4757013e-05,1.1442837e-05,8.824243e-06,9.077826e-06
KIBotXZz3920bRdQDx6q,0.9998596,5.1044526e-06,6.913032e-06,1.2801288e-05,1.0781153e-05,1.0781503e-05,4.6021396e-06,7.000023e-05,1.9427853e-05
KJAPc4qD5tMsXxkGVoe7,0.9998516,8.897982e-06,7.58247e-06,1.924244e-05,7.7798395e-06,8.705698e-06,4.556936e-06,6.814455e-05,2.3467062e-05
KJfPRg9v7YoDId8Tur36,1.9156912e-05,3.155785e-05,1.170525e-05,8.2843535e-06,9.0712565e-06,6.384054e-05,9.610138e-06,4.5753884e-05,0.9998011
KJrPf2Vo34EFvyHTb5ca,2.1865775e-05,3.263875e-05,1.2286908e-05,8.696013e-06,8.751821e-06,0.00012260448,9.158473e-06,3.66304e-05,0.99974734
KLCJ54mcXibYSkrIowea,2.899217e-05,1.1137214e-05,0.99982613,1.683336e-05,2.1668788e-05,2.1942493e-05,2.172884e-05,3.7483678e-05,1.4131799e-05
KLWS8rqmP5CaIdl9Rbwt,4.1381216e-05,7.007467e-05,4.1255396e-05,4.2607753e-05,3.8522936e-05,0.9994235,3.9043513e-05,0.00020958934,9.4053285e-05
KMh2yDGU0arC9FsgfAdO,0.9994273,2.0642448e-05,1.51291515e-05,1.214513e-05,1.4872708e-05,0.00044480982,9.652112e-06,3.2506552e-05,2.2920998e-05
KNvsfthG2Pi97V6FbDCL,0.99944025,2.0921332e-05,3.0257035e-05,9.58079e-05,2.9059192e-05,0.0001226481,2.1382753e-05,0.00020144299,3.8170132e-05
KOFjpx4N2u1EAGMIT38i,0.99974936,2.8399909e-05,1.4260066e-05,1.5121215e-05,1.3695526e-05,5.7150963e-05,8.770638e-06,7.323626e-05,4.0044106e-05
KOHC6vwryfx39bNpQI1W,1.3196186e-05,5.8921505e-06,0.9999043,1.03095945e-05,1.752987e-05,1.5935713e-05,1.10855235e-05,1.2091821e-05,9.6981385e-06
KOIqk23f0eh6GBvmCJAi,2.2711152e-05,8.9896885e-06,1.0511074e-05,1.0376517e-05,1.03362e-05,0.9997675,1.0606311e-05,7.610117e-05,8.2879276e-05
