Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.0002602158,0.00034155406,0.000596595,0.00042578456,0.99606675,0.0005107003,0.0005875518,0.00061377155,0.00059712265
Ig2DB5tSiEy1cJvV0zdw,7.762058e-05,0.00014139323,0.00022446319,0.0001665419,0.9964799,0.00012777337,0.00039401092,0.0009194858,0.0014688023
Jmo6eIhLZ4t9r8QsxEg5,0.00019812761,0.001535052,0.0006059367,0.0009034916,0.9873498,0.0039455798,0.0012136926,0.0030418981,0.0012064351
JtPFl4ewgdD78OzCMa3o,0.007977785,0.022582214,0.01635733,0.019264476,0.33721027,0.010500718,0.016562747,0.05611464,0.5134298
K3ZtByPHGSFYNljDUEXp,7.3433785e-06,1.5636007e-05,0.9998598,2.3452267e-05,2.5198886e-05,9.770403e-06,2.6796692e-05,2.0308386e-05,1.1615661e-05
K5PTipJ9XhUo4ZNeMW2a,9.387287e-06,1.4839841e-05,0.9998698,2.0507181e-05,1.936477e-05,9.277904e-06,2.4042549e-05,1.658462e-05,1.6125849e-05
K5qpgj7bdnhS2r30OEzY,9.23392e-06,1.40545835e-05,0.9998833,1.7923909e-05,2.7051443e-05,7.747731e-06,2.1915139e-05,8.36421e-06,1.0381064e-05
K62VOEBLnk8crZ4MmsXT,9.5509085e-06,1.3631842e-05,0.99988735,1.7384782e-05,2.54089e-05,8.487288e-06,2.1255964e-05,8.231153e-06,8.675616e-06
K7ZiVIxskzvctNT0qyA3,9.862794e-06,1.4596574e-05,0.99987984,1.8015446e-05,2.9149041e-05,8.080637e-06,2.4594317e-05,5.8803807e-06,9.952196e-06
K89sTRoP52wWL7rZUNdt,1.0163338e-05,1.4930408e-05,0.9998641,2.1768246e-05,2.0555564e-05,1.1924238e-05,2.757754e-05,8.561777e-06,2.0348933e-05
K9moual27cWIk5bJOpiH,7.698201e-06,1.5329979e-05,0.99985874,2.5848913e-05,2.4705694e-05,1.153007e-05,2.6272253e-05,1.959069e-05,1.02488675e-05
KAPHdnDUgF3m5pEGwxXc,1.5076075e-05,1.3631743e-05,0.9998801,1.682461e-05,2.5408715e-05,1.1244456e-05,2.125581e-05,6.362352e-06,1.0068743e-05
KB7ybYxf95pdtUoGzl3u,8.955976e-06,1.3631537e-05,0.99986494,2.0445783e-05,2.7412683e-05,2.5103407e-05,2.1255488e-05,9.538116e-06,8.675423e-06
