Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.00012745494,0.00014393449,0.00019351646,0.00013916274,0.9974969,0.00044529483,0.00026229062,0.0008647348,0.0003267274
Ig2DB5tSiEy1cJvV0zdw,3.4218352e-05,4.4831682e-05,6.27082e-05,4.668057e-05,0.9983027,0.00016778,0.00021047136,0.00035980422,0.00077076297
Jmo6eIhLZ4t9r8QsxEg5,0.00016786391,0.00044506794,0.00027218045,0.00025092618,0.9857348,0.0068808026,0.0010244194,0.004683928,0.00053999975
JtPFl4ewgdD78OzCMa3o,0.0080443015,0.011774952,0.00969031,0.012594234,0.5537686,0.035401918,0.0117703825,0.1366913,0.22026397
K3ZtByPHGSFYNljDUEXp,8.121817e-06,1.0489473e-05,0.99987996,1.4139421e-05,1.5516443e-05,1.6208298e-05,1.6593807e-05,2.4379084e-05,1.456829e-05
K5PTipJ9XhUo4ZNeMW2a,1.6084721e-05,1.1515531e-05,0.99987113,1.3657932e-05,1.3401506e-05,1.4476713e-05,1.7528704e-05,1.9322792e-05,2.2816197e-05
K5qpgj7bdnhS2r30OEzY,1.555241e-05,9.616202e-06,0.9998778,1.31457955e-05,2.4389474e-05,1.1636371e-05,1.5194719e-05,1.9726536e-05,1.2921615e-05
K62VOEBLnk8crZ4MmsXT,1.5552438e-05,9.616218e-06,0.9998795,1.3145817e-05,2.4389514e-05,1.1896977e-05,1.411628e-05,1.8876543e-05,1.2921637e-05
K7ZiVIxskzvctNT0qyA3,1.8606386e-05,1.0741226e-05,0.999861,1.5322808e-05,3.5070178e-05,1.8148783e-05,1.9558456e-05,8.313454e-06,1.3245291e-05
K89sTRoP52wWL7rZUNdt,1.7091717e-05,1.1951734e-05,0.99985564,1.5009831e-05,1.4728023e-05,1.9843004e-05,2.1386337e-05,8.167142e-06,3.616426e-05
K9moual27cWIk5bJOpiH,1.350029e-05,1.6618822e-05,0.9998166,2.0425443e-05,2.2414653e-05,2.9200059e-05,2.4805555e-05,3.6919337e-05,1.9503592e-05
KAPHdnDUgF3m5pEGwxXc,1.7183016e-05,9.616231e-06,0.9998808,1.0991226e-05,1.8345365e-05,1.7875962e-05,1.45548875e-05,1.7714841e-05,1.2921653e-05
KB7ybYxf95pdtUoGzl3u,1.6634858e-05,9.945042e-06,0.99986076,1.4716712e-05,2.5223457e-05,2.5311845e-05,1.505254e-05,1.8935383e-05,1.3363463e-05
