Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,3.412573e-05,4.085164e-05,8.00098e-05,5.261567e-05,0.9992379,8.664514e-05,0.00013019175,0.0002804295,5.7230125e-05
Ig2DB5tSiEy1cJvV0zdw,2.1847101e-05,3.8230544e-05,5.62514e-05,3.8461774e-05,0.9988631,0.000107117805,0.00016343985,0.0001921613,0.0005194593
Jmo6eIhLZ4t9r8QsxEg5,0.00017579453,0.0008972624,0.00039349042,0.00033062565,0.98382795,0.006020383,0.0010743692,0.0068125185,0.0004676171
JtPFl4ewgdD78OzCMa3o,0.0026692585,0.008396008,0.004341531,0.0047662524,0.9137731,0.0044222083,0.0035700747,0.019525668,0.038535852
K3ZtByPHGSFYNljDUEXp,4.3039445e-06,7.8880785e-06,0.99992025,1.2584718e-05,1.0351137e-05,9.627162e-06,1.5585425e-05,1.4083225e-05,5.287565e-06
K5PTipJ9XhUo4ZNeMW2a,5.321994e-06,6.9774e-06,0.9999342,1.0709117e-05,7.1712443e-06,7.356963e-06,1.2428008e-05,6.7800866e-06,9.0730355e-06
K5qpgj7bdnhS2r30OEzY,4.3429022e-06,4.8926545e-06,0.9999409,9.653029e-06,1.1901453e-05,8.526205e-06,1.1445407e-05,4.6561095e-06,3.7554519e-06
K62VOEBLnk8crZ4MmsXT,4.500058e-06,4.892646e-06,0.9999391,9.653012e-06,1.1901432e-05,1.0053524e-05,1.1445386e-05,4.852349e-06,3.6227323e-06
K7ZiVIxskzvctNT0qyA3,5.6835297e-06,4.7271233e-06,0.9999399,9.30781e-06,1.5940643e-05,7.4882996e-06,1.1445396e-05,1.4707417e-06,4.0528935e-06
K89sTRoP52wWL7rZUNdt,5.317764e-06,7.2423395e-06,0.9999287,1.1115754e-05,7.4435375e-06,8.32345e-06,1.1930708e-05,2.4377027e-06,1.7452581e-05
K9moual27cWIk5bJOpiH,5.22317e-06,9.134833e-06,0.9999169,1.3991691e-05,1.1508396e-05,9.031415e-06,1.7327875e-05,1.0020681e-05,6.823833e-06
KAPHdnDUgF3m5pEGwxXc,8.761959e-06,4.995538e-06,0.99994373,7.280342e-06,9.206954e-06,7.767019e-06,1.1001304e-05,3.6252375e-06,3.6227493e-06
KB7ybYxf95pdtUoGzl3u,4.772302e-06,4.995476e-06,0.99993134,9.6529375e-06,1.1901339e-05,1.7368842e-05,1.1445298e-05,4.7935764e-06,3.7554162e-06
KBZ4cC3QsAgrqI80OWlm,5.9473746e-06,4.9954315e-06,0.9999224,1.0044329e-05,1.5496873e-05,2.0359921e-05,1.1445195e-05,5.508601e-06,3.7553825e-06
KBZO3jLb5A7ieDWYTMgR,5.330593e-06,4.8926718e-06,0.99994445,9.653064e-06,1.153593e-05,7.756381e-06,1.10013125e-05,1.9527724e-06,3.445282e-06
KBbVJcQrqAu4zROsEwi0,4.8512447e-06,4.9955547e-06,0.9999471,9.653089e-06,9.206985e-06,7.756402e-06,1.1001342e-05,2.0562886e-06,3.445291e-06
KCvj7cQ1dHEFDBruTZpV,5.145239e-06,4.72711e-06,0.99993706,9.652993e-06,1.3049791e-05,1.0001043e-05,1.1445363e-05,4.96328e-06,3.909658e-06
KCvjZO7bGhenNRq8xLsf,5.36511e-06,6.6005828e-06,0.9999349,1.0530614e-05,8.661603e-06,5.5991823e-06,1.3041552e-05,1.1870098e-05,3.4700727e-06
KDHx9P6m25ocdLaqVn8k,4.1588223e-06,7.2733897e-06,0.99993443,1.04111805e-05,9.16328e-06,6.849041e-06,1.3385992e-05,9.178805e-06,5.128824e-06
KDQ13ouamdPnSlhzTRJe,0.9998983,5.3394873e-05,3.838441e-06,5.479395e-06,3.0773665e-06,4.4693165e-06,3.2526443e-06,1.6249394e-05,1.1932496e-05
