Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.11537466,0.0089095365,0.00020026631,0.5178505,0.22005327,0.115836374,0.0010511513,0.018326122,0.002398127
Ig2DB5tSiEy1cJvV0zdw,0.0009945168,0.00040565932,1.03350085e-05,9.976235e-05,0.99587363,0.0011129385,0.00010617773,0.000850876,0.0005461127
Jmo6eIhLZ4t9r8QsxEg5,0.060764194,0.019282097,0.0045901816,0.52797115,0.09067869,0.20949964,0.0071258494,0.015598006,0.06449023
JtPFl4ewgdD78OzCMa3o,0.034400094,0.0069222506,5.494788e-05,0.0074095437,0.92977154,0.005838207,0.00025083896,0.014935893,0.00041668589
K3ZtByPHGSFYNljDUEXp,2.6674928e-05,6.716226e-05,0.9996524,4.1652734e-06,5.4844036e-06,2.8238224e-05,8.382727e-06,4.5194367e-05,0.00016231406
K5PTipJ9XhUo4ZNeMW2a,0.0007580573,1.990232e-05,0.99909294,1.2900296e-05,1.5336554e-05,2.1304113e-05,9.608205e-06,4.874551e-05,2.124033e-05
K5qpgj7bdnhS2r30OEzY,5.3283515e-05,5.0690323e-06,0.99991345,3.844067e-06,3.1002098e-06,3.184313e-06,1.9422537e-06,1.1814257e-05,4.2936335e-06
K62VOEBLnk8crZ4MmsXT,7.0268085e-05,5.6501985e-06,0.99988794,8.99875e-06,3.45565e-06,3.5493956e-06,2.1649337e-06,1.3168766e-05,4.7859003e-06
K7ZiVIxskzvctNT0qyA3,0.001068884,7.562983e-05,0.9981883,0.00016481214,5.047618e-05,0.00013944844,3.1622843e-05,0.00021968635,6.11572e-05
K89sTRoP52wWL7rZUNdt,6.696401e-05,4.977033e-06,0.99990034,3.7743e-06,3.0439433e-06,3.126517e-06,1.9070011e-06,1.1599814e-05,4.215703e-06
K9moual27cWIk5bJOpiH,2.8908089e-05,9.9148594e-05,0.9995807,4.513976e-06,5.9435447e-06,3.060223e-05,9.084501e-06,0.00010126112,0.00013987634
KAPHdnDUgF3m5pEGwxXc,7.0268085e-05,5.6501985e-06,0.99988794,8.99875e-06,3.45565e-06,3.5493956e-06,2.1649337e-06,1.3168766e-05,4.7859003e-06
KB7ybYxf95pdtUoGzl3u,3.3006716e-05,6.551364e-06,0.99992514,4.391278e-06,2.5904512e-06,3.2087776e-06,1.6228929e-06,2.0872438e-05,2.6714272e-06
KBZ4cC3QsAgrqI80OWlm,0.0003371723,5.1246097e-05,0.99925154,4.014573e-05,1.7046597e-05,2.1115524e-05,1.067953e-05,0.0002534628,1.7579463e-05
KBZO3jLb5A7ieDWYTMgR,0.00024590452,7.700954e-06,0.9996965,4.9916075e-06,5.9342815e-06,8.243359e-06,3.7177704e-06,1.8861447e-05,8.218679e-06
KBbVJcQrqAu4zROsEwi0,0.00019238438,1.3391105e-05,0.9997242,1.0155057e-05,8.189973e-06,9.206952e-06,5.13094e-06,2.6030906e-05,1.1342687e-05
KCvj7cQ1dHEFDBruTZpV,0.0003321553,4.5827266e-05,0.9993,3.5900666e-05,1.5244065e-05,1.8882738e-05,9.550261e-06,0.00022666127,1.5720587e-05
KCvjZO7bGhenNRq8xLsf,4.5442113e-05,0.000114397364,0.9992181,7.0946953e-06,9.341574e-06,4.809807e-05,1.1761719e-05,5.18296e-05,0.0004939318
KDHx9P6m25ocdLaqVn8k,2.4394607e-05,7.6884964e-05,0.9996544,3.8086357e-06,5.01482e-06,2.5820422e-05,1.0593285e-05,5.0712122e-05,0.00014841632
KDQ13ouamdPnSlhzTRJe,0.9955961,0.0026674853,0.00012610959,5.2858613e-05,4.2274794e-05,7.090804e-05,0.000115477276,0.0010963428,0.00023249362
KE3w1tc4flX7UngQ5yTq,7.0268085e-05,5.6501985e-06,0.99988794,8.99875e-06,3.45565e-06,3.5493956e-06,2.1649337e-06,1.3168766e-05,4.7859003e-06
KEhusGlH2O4qwTymPZRQ,5.3283515e-05,5.0690323e-06,0.99991345,3.844067e-06,3.1002098e-06,3.184313e-06,1.9422537e-06,1.1814257e-05,4.2936335e-06
KFBXbSr9a8mYC7cDkflH,0.00042035498,2.9742589e-05,0.9992842,6.481489e-05,1.985053e-05,5.8136276e-05,1.2436166e-05,8.639501e-05,2.4051003e-05
KFHlYPzy0Emni9exLs3C,0.9916496,0.0040139314,6.435407e-05,9.245023e-05,7.579241e-05,0.00020004819,5.4493175e-05,0.0034851595,0.0003642141
KFboDTnWNsOkzIl8rX6R,5.3283293e-05,5.0690114e-06,0.9999093,8.073126e-06,3.1001969e-06,3.1842999e-06,1.9422455e-06,1.1814208e-05,4.2936153e-06
KFczEQCIau7D20MROmHl,5.2860138e-05,6.438206e-05,0.9994949,6.877716e-06,9.055877e-06,6.0059745e-05,1.3841592e-05,0.00021117859,8.6799446e-05
KFlbgmf4GZjHhIsX92Yr,0.00019763887,3.984999e-05,0.999485,3.5907313e-05,1.5246888e-05,1.8886236e-05,9.552029e-06,0.0001821233,1.5723497e-05
KG6ZtkgjohnTHX9McR4w,0.997095,0.0007830166,0.00014409593,3.0077183e-05,3.3175646e-05,0.0012425774,5.2067782e-05,0.000118665914,0.00050131103
KGA8EhzSPqxyN9wCmeiV,0.002149833,0.0010571005,1.4954103e-05,0.00067806256,0.9936879,0.0010697189,0.00015363247,0.00035303735,0.0008357231
KGPCEf430IcB1OpbthkR,0.9561455,0.03625778,0.000664871,0.00016403312,0.00018093131,0.0003805778,0.0012209039,0.0010083063,0.0039771157
KHc36DE5SXAedfmtq7pI,0.99229914,0.0026269446,4.299641e-05,4.4590306e-05,7.1254966e-05,0.00016722138,4.2330215e-05,0.0045400183,0.00016552226
KHepg3qX6ZWOy2VsdRDQ,0.99628747,0.0026231823,0.00017444331,4.1238232e-05,4.5486468e-05,0.00010761673,0.00030693752,0.00024044908,0.00017316866
KHpJcA0hTf7yrBuMia3S,0.0005341306,0.0013870494,0.0010277511,4.14192e-05,5.4536547e-05,0.0006247532,0.00013985195,0.0011569123,0.9950336
KI1eOvfhVoEsa50DLQdA,0.00032929552,2.2920944e-05,0.9995297,1.1791536e-05,1.4018402e-05,1.9473058e-05,8.782395e-06,4.4555913e-05,1.9414758e-05
KI6VEf2DqSA1MwOmNkne,0.9889361,0.005306064,0.0009985309,0.00017074379,0.00018833332,0.0017864648,0.00056299614,0.0005209063,0.0015298714
