Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.4080672,0.008334651,1.088411e-05,0.12116655,0.18342492,0.26610246,0.00020657248,0.012200671,0.00048610693
Ig2DB5tSiEy1cJvV0zdw,0.00049342506,0.00010009244,6.42468e-07,1.0639671e-05,0.9960663,0.0007845123,4.5285553e-05,0.0009908595,0.0015083192
Jmo6eIhLZ4t9r8QsxEg5,0.021852374,0.002805982,0.00082272117,0.19143862,0.6794853,0.04020784,0.0021809975,0.017602762,0.043603376
JtPFl4ewgdD78OzCMa3o,0.0029290686,0.008427411,6.5369034e-07,0.0012153452,0.9841181,0.0010093267,2.2206868e-05,0.0022605043,1.7358294e-05
K3ZtByPHGSFYNljDUEXp,4.0716135e-05,0.000100693476,0.9994438,9.1582393e-07,8.5826605e-07,1.28536085e-05,3.4472898e-06,1.4138862e-05,0.0003825219
K5PTipJ9XhUo4ZNeMW2a,0.000573919,1.0295381e-06,0.99935883,1.1110982e-06,2.6414057e-07,5.819948e-05,2.873038e-07,5.195952e-06,1.1178514e-06
K5qpgj7bdnhS2r30OEzY,2.7288472e-05,7.823491e-08,0.99997175,2.2151522e-07,1.9284846e-08,9.168631e-08,2.0975948e-08,4.990352e-07,7.7054914e-08
K62VOEBLnk8crZ4MmsXT,3.9695533e-05,1.0879532e-07,0.99995875,7.098244e-07,2.6817965e-08,1.4998298e-07,2.9169652e-08,4.6671178e-07,9.888974e-08
K7ZiVIxskzvctNT0qyA3,0.0013874437,2.0011537e-06,0.9985166,9.719404e-06,4.8454854e-07,6.406407e-05,6.573277e-07,1.7792918e-05,1.1912274e-06
K89sTRoP52wWL7rZUNdt,6.996477e-05,1.640989e-07,0.999928,4.5345513e-07,4.0450253e-08,1.9231341e-07,4.399745e-08,1.0333202e-06,1.5697661e-07
K9moual27cWIk5bJOpiH,2.0144633e-05,8.116809e-05,0.99970514,7.180848e-07,6.7295446e-07,1.09946e-05,2.702972e-06,2.3313736e-05,0.00015508947
